😀	obraz, režanje, režeči obraz
👐🏽	dlan, odprti dlani, odprti dlani: srednji ten kože, odprto, srednji ten kože, telo
👐🏾	dlan, odprti dlani, odprti dlani: srednje temen ten kože, odprto, srednje temen ten kože, telo
👐🏿	dlan, odprti dlani, odprti dlani: temen ten kože, odprto, telo, temen ten kože
🤲	dvignjeni odprti dlani
🤲🏻	dvignjeni odprti dlani, dvignjeni odprti dlani: svetel ten kože, svetel ten kože
🤲🏼	dvignjeni odprti dlani, dvignjeni odprti dlani: srednje svetel ten kože, srednje svetel ten kože
🤲🏽	dvignjeni odprti dlani, dvignjeni odprti dlani: srednji ten kože, srednji ten kože
🤲🏾	dvignjeni odprti dlani, dvignjeni odprti dlani: srednje temen ten kože, srednje temen ten kože
🤲🏿	dvignjeni odprti dlani, dvignjeni odprti dlani: temen ten kože, temen ten kože
🤝	roka, rokovanje, sporazum, srečanje
🙏	gesta, hvala, moliti, predklon, prosim, prositi, roka, sklenjeno, staknjeni dlani, telo
🙏🏻	gesta, hvala, moliti, predklon, prosim, prositi, roka, sklenjeno, staknjeni dlani, staknjeni dlani: svetel ten kože, svetel ten kože, telo
🙏🏼	gesta, hvala, moliti, predklon, prosim, prositi, roka, sklenjeno, srednje svetel ten kože, staknjeni dlani, staknjeni dlani: srednje svetel ten kože, telo
🙏🏽	gesta, hvala, moliti, predklon, prosim, prositi, roka, sklenjeno, srednji ten kože, staknjeni dlani, staknjeni dlani: srednji ten kože, telo
🙏🏾	gesta, hvala, moliti, predklon, prosim, prositi, roka, sklenjeno, srednje temen ten kože, staknjeni dlani, staknjeni dlani: srednje temen ten kože, telo
🙏🏿	gesta, hvala, moliti, predklon, prosim, prositi, roka, sklenjeno, staknjeni dlani, staknjeni dlani: temen ten kože, telo, temen ten kože
✍️	dlan, pisati, pišoča dlan, telo
✍🏻	dlan, pisati, pišoča dlan, pišoča dlan: svetel ten kože, svetel ten kože, telo
✍🏼	dlan, pisati, pišoča dlan, pišoča dlan: srednje svetel ten kože, srednje svetel ten kože, telo
✍🏽	dlan, pisati, pišoča dlan, pišoča dlan: srednji ten kože, srednji ten kože, telo
✍🏾	dlan, pisati, pišoča dlan, pišoča dlan: srednje temen ten kože, srednje temen ten kože, telo
✍🏿	dlan, pisati, pišoča dlan, pišoča dlan: temen ten kože, telo, temen ten kože
💅	kozmetika, lak, lak za nohte, manikira, nega, noht, telo
💅🏻	kozmetika, lak, lak za nohte, lak za nohte: svetel ten kože, manikira, nega, noht, svetel ten kože, telo
💅🏼	kozmetika, lak, lak za nohte, lak za nohte: srednje svetel ten kože, manikira, nega, noht, srednje svetel ten kože, telo
💅🏽	kozmetika, lak, lak za nohte, lak za nohte: srednji ten kože, manikira, nega, noht, srednji ten kože, telo
💅🏾	kozmetika, lak, lak za nohte, lak za nohte: srednje temen ten kože, manikira, nega, noht, srednje temen ten kože, telo
💅🏿	kozmetika, lak, lak za nohte, lak za nohte: temen ten kože, manikira, nega, noht, telo, temen ten kože
🤳	fotoaparat, kamera, mobilni telefon, selfi
🤳🏻	fotoaparat, kamera, mobilni telefon, selfi, selfi: svetel ten kože, svetel ten kože
🤳🏼	fotoaparat, kamera, mobilni telefon, selfi, selfi: srednje svetel ten kože, srednje svetel ten kože
🤳🏽	fotoaparat, kamera, mobilni telefon, selfi, selfi: srednji ten kože, srednji ten kože
🤳🏾	fotoaparat, kamera, mobilni telefon, selfi, selfi: srednje temen ten kože, srednje temen ten kože
🤳🏿	fotoaparat, kamera, mobilni telefon, selfi, selfi: temen ten kože, temen ten kože
💪	biceps, mišica, napenjati, napeti bicepsi, strip, telo
💪🏻	biceps, mišica, napenjati, napeti bicepsi, napeti bicepsi: svetel ten kože, strip, svetel ten kože, telo
💪🏼	biceps, mišica, napenjati, napeti bicepsi, napeti bicepsi: srednje svetel ten kože, srednje svetel ten kože, strip, telo
💪🏽	biceps, mišica, napenjati, napeti bicepsi, napeti bicepsi: srednji ten kože, srednji ten kože, strip, telo
💪🏾	biceps, mišica, napenjati, napeti bicepsi, napeti bicepsi: srednje temen ten kože, srednje temen ten kože, strip, telo
💪🏿	biceps, mišica, napenjati, napeti bicepsi, napeti bicepsi: temen ten kože, strip, telo, temen ten kože
🦾	invalid, mehanska roka, proteza, umetni ud
🦿	invalid, mehanska noga, proteza, umetni ud
🦵	brca, noga, okončina
🦵🏻	brca, noga, noga: svetel ten kože, okončina, svetel ten kože
🦵🏼	brca, noga, noga: srednje svetel ten kože, okončina, srednje svetel ten kože
🦵🏽	brca, noga, noga: srednji ten kože, okončina, srednji ten kože
🦵🏾	brca, noga, noga: srednje temen ten kože, okončina, srednje temen ten kože
🦵🏿	brca, noga, noga: temen ten kože, okončina, temen ten kože
🦶	brca, stopalo, topot
🦶🏻	brca, stopalo, stopalo: svetel ten kože, svetel ten kože, topot
🦶🏼	brca, srednje svetel ten kože, stopalo, stopalo: srednje svetel ten kože, topot
🦶🏽	brca, srednji ten kože, stopalo, stopalo: srednji ten kože, topot
🦶🏾	brca, srednje temen ten kože, stopalo, stopalo: srednje temen ten kože, topot
🦶🏿	brca, stopalo, stopalo: temen ten kože, temen ten kože, topot
👂️	telo, uho
👂🏻	svetel ten kože, telo, uho, uho: svetel ten kože
👂🏼	srednje svetel ten kože, telo, uho, uho: srednje svetel ten kože
👂🏽	srednji ten kože, telo, uho, uho: srednji ten kože
👂🏾	srednje temen ten kože, telo, uho, uho: srednje temen ten kože
👂🏿	telo, temen ten kože, uho, uho: temen ten kože
🦻	naglušni, okvara sluha, uho s slušnim aparatom
🦻🏻	naglušni, okvara sluha, svetel ten kože, uho s slušnim aparatom, uho s slušnim aparatom: svetel ten kože
🦻🏼	naglušni, okvara sluha, srednje svetel ten kože, uho s slušnim aparatom, uho s slušnim aparatom: srednje svetel ten kože
🦻🏽	naglušni, okvara sluha, srednji ten kože, uho s slušnim aparatom, uho s slušnim aparatom: srednji ten kože
🦻🏾	naglušni, okvara sluha, srednje temen ten kože, uho s slušnim aparatom, uho s slušnim aparatom: srednje temen ten kože
🦻🏿	naglušni, okvara sluha, temen ten kože, uho s slušnim aparatom, uho s slušnim aparatom: temen ten kože
👃	nos, telo
👃🏻	nos, nos: svetel ten kože, svetel ten kože, telo
👃🏼	nos, nos: srednje svetel ten kože, srednje svetel ten kože, telo
👃🏽	nos, nos: srednji ten kože, srednji ten kože, telo
👃🏾	nos, nos: srednje temen ten kože, srednje temen ten kože, telo
👃🏿	nos, nos: temen ten kože, telo, temen ten kože
🧠	možgani
🦷	zob, zobozdravnik
🦴	kost, okostje
👀	obraz, oči, telo
👁️	oko, telo
👅	jezik, telo
👄	telo, usta, ustnice
👶	dojenček
👶🏻	dojenček, dojenček: svetel ten kože, svetel ten kože
👶🏼	dojenček, dojenček: srednje svetel ten kože, srednje svetel ten kože
👶🏽	dojenček, dojenček: srednji ten kože, srednji ten kože
👶🏾	dojenček, dojenček: srednje temen ten kože, srednje temen ten kože
👶🏿	dojenček, dojenček: temen ten kože, temen ten kože
🧒	otrok
🧒🏻	otrok, otrok: svetel ten kože, svetel ten kože
🧒🏼	otrok, otrok: srednje svetel ten kože, srednje svetel ten kože
🧒🏽	otrok, otrok: srednji ten kože, srednji ten kože
🧒🏾	otrok, otrok: srednje temen ten kože, srednje temen ten kože
🧒🏿	otrok, otrok: temen ten kože, temen ten kože
👦	deček, fant
👦🏻	deček, fant, fant: svetel ten kože, svetel ten kože
👦🏼	deček, fant, fant: srednje svetel ten kože, srednje svetel ten kože
👦🏽	deček, fant, fant: srednji ten kože, srednji ten kože
👦🏾	deček, fant, fant: srednje temen ten kože, srednje temen ten kože
👦🏿	deček, fant, fant: temen ten kože, temen ten kože
👧	dekle, devica, zodiak
👧🏻	dekle, dekle: svetel ten kože, devica, svetel ten kože, zodiak
👧🏼	dekle, dekle: srednje svetel ten kože, devica, srednje svetel ten kože, zodiak
👧🏽	dekle, dekle: srednji ten kože, devica, srednji ten kože, zodiak
👧🏾	dekle, dekle: srednje temen ten kože, devica, srednje temen ten kože, zodiak
👧🏿	dekle, dekle: temen ten kože, devica, temen ten kože, zodiak
🧑	odrasla oseba
🧑🏻	odrasla oseba, odrasla oseba: svetel ten kože, svetel ten kože
🧑🏼	odrasla oseba, odrasla oseba: srednje svetel ten kože, srednje svetel ten kože
🧑🏽	odrasla oseba, odrasla oseba: srednji ten kože, srednji ten kože
🧑🏾	odrasla oseba, odrasla oseba: srednje temen ten kože, srednje temen ten kože
🧑🏿	odrasla oseba, odrasla oseba: temen ten kože, temen ten kože
👱	lasje, oseba: svetli lasje, svetli lasje, svetlolasa oseba
👱🏻	lasje, oseba: svetel ten kože in svetli lasje, oseba: svetli lasje, svetel ten kože, svetli lasje, svetlolasa oseba
👱🏼	lasje, oseba: srednje svetel ten kože in svetli lasje, oseba: svetli lasje, srednje svetel ten kože, svetli lasje, svetlolasa oseba
👱🏽	lasje, oseba: srednji ten kože in svetli lasje, oseba: svetli lasje, srednji ten kože, svetli lasje, svetlolasa oseba
👱🏾	lasje, oseba: srednje temen ten kože in svetli lasje, oseba: svetli lasje, srednje temen ten kože, svetli lasje, svetlolasa oseba
👱🏿	lasje, oseba: svetli lasje, oseba: temen ten kože in svetli lasje, svetli lasje, svetlolasa oseba, temen ten kože
👨	fant, moški
👨🏻	fant, moški, moški: svetel ten kože, svetel ten kože
👨🏼	fant, moški, moški: srednje svetel ten kože, srednje svetel ten kože
👨🏽	fant, moški, moški: srednji ten kože, srednji ten kože
👨🏾	fant, moški, moški: srednje temen ten kože, srednje temen ten kože
👨🏿	fant, moški, moški: temen ten kože, temen ten kože
🧔	brada, moški, moški: brada, oseba
🧔🏻	brada, moški, moški: brada, moški: svetel ten kože in brada, oseba, svetel ten kože
🧔🏼	brada, moški, moški: brada, moški: srednje svetel ten kože in brada, oseba, srednje svetel ten kože
🧔🏽	brada, moški, moški: brada, moški: srednji ten kože in brada, oseba, srednji ten kože
🧔🏾	brada, moški, moški: brada, moški: srednje temen ten kože in brada, oseba, srednje temen ten kože
🧔🏿	brada, moški, moški: brada, moški: temen ten kože in brada, oseba, temen ten kože
👱‍♂	blondinec, fant, lasje, moški, moški: blondinec
👱🏻‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: svetel ten kože in blondinec, svetel ten kože
👱🏼‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: srednje svetel ten kože in blondinec, srednje svetel ten kože
👱🏽‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: srednji ten kože in blondinec, srednji ten kože
👱🏾‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: srednje temen ten kože in blondinec, srednje temen ten kože
👱🏿‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: temen ten kože in blondinec, temen ten kože
👨‍🦰	fant, moški, moški: rdeči lasje, rdeči lasje
👨🏻‍🦰	fant, moški, moški: svetel ten kože in rdeči lasje, rdeči lasje, svetel ten kože
👨🏼‍🦰	fant, moški, moški: srednje svetel ten kože in rdeči lasje, rdeči lasje, srednje svetel ten kože
👨🏽‍🦰	fant, moški, moški: srednji ten kože in rdeči lasje, rdeči lasje, srednji ten kože
👨🏾‍🦰	fant, moški, moški: srednje temen ten kože in rdeči lasje, rdeči lasje, srednje temen ten kože
👨🏿‍🦰	fant, moški, moški: temen ten kože in rdeči lasje, rdeči lasje, temen ten kože
👨‍🦱	fant, kodrasti lasje, moški, moški: kodrasti lasje
👨🏻‍🦱	fant, kodrasti lasje, moški, moški: svetel ten kože in kodrasti lasje, svetel ten kože
👨🏼‍🦱	fant, kodrasti lasje, moški, moški: srednje svetel ten kože in kodrasti lasje, srednje svetel ten kože
👨🏽‍🦱	fant, kodrasti lasje, moški, moški: srednji ten kože in kodrasti lasje, srednji ten kože
👨🏾‍🦱	fant, kodrasti lasje, moški, moški: srednje temen ten kože in kodrasti lasje, srednje temen ten kože
👨🏿‍🦱	fant, kodrasti lasje, moški, moški: temen ten kože in kodrasti lasje, temen ten kože
👨‍🦳	fant, moški, moški: sivi lasje, sivi lasje
👨🏻‍🦳	fant, moški, moški: svetel ten kože in sivi lasje, sivi lasje, svetel ten kože
👨🏼‍🦳	fant, moški, moški: srednje svetel ten kože in sivi lasje, sivi lasje, srednje svetel ten kože
👨🏽‍🦳	fant, moški, moški: srednji ten kože in sivi lasje, sivi lasje, srednji ten kože
👨🏾‍🦳	fant, moški, moški: srednje temen ten kože in sivi lasje, sivi lasje, srednje temen ten kože
👨🏿‍🦳	fant, moški, moški: temen ten kože in sivi lasje, sivi lasje, temen ten kože
👨‍🦲	fant, moški, moški: plešast, plešast
👨🏻‍🦲	fant, moški, moški: svetel ten kože in plešast, plešast, svetel ten kože
👨🏼‍🦲	fant, moški, moški: srednje svetel ten kože in plešast, plešast, srednje svetel ten kože
👨🏽‍🦲	fant, moški, moški: srednji ten kože in plešast, plešast, srednji ten kože
👨🏾‍🦲	fant, moški, moški: srednje temen ten kože in plešast, plešast, srednje temen ten kože
👨🏿‍🦲	fant, moški, moški: temen ten kože in plešast, plešast, temen ten kože
👩	dekle, ženska
👩🏻	dekle, svetel ten kože, ženska, ženska: svetel ten kože
👩🏼	dekle, srednje svetel ten kože, ženska, ženska: srednje svetel ten kože
👩🏽	dekle, srednji ten kože, ženska, ženska: srednji ten kože
👩🏾	dekle, srednje temen ten kože, ženska, ženska: srednje temen ten kože
👩🏿	dekle, temen ten kože, ženska, ženska: temen ten kože
👱‍♀	blondinka, dekle, lasje, ženska, ženska: blondinka
👱🏻‍♀	blondinka, dekle, lasje, svetel ten kože, ženska, ženska: blondinka, ženska: svetel ten kože in blondinka
👱🏼‍♀	blondinka, dekle, lasje, srednje svetel ten kože, ženska, ženska: blondinka, ženska: srednje svetel ten kože in blondinka
👱🏽‍♀	blondinka, dekle, lasje, srednji ten kože, ženska, ženska: blondinka, ženska: srednji ten kože in blondinka
👱🏾‍♀	blondinka, dekle, lasje, srednje temen ten kože, ženska, ženska: blondinka, ženska: srednje temen ten kože in blondinka
👱🏿‍♀	blondinka, dekle, lasje, temen ten kože, ženska, ženska: blondinka, ženska: temen ten kože in blondinka
👩‍🦰	dekle, rdeči lasje, ženska, ženska: rdeči lasje
👩🏻‍🦰	dekle, rdeči lasje, svetel ten kože, ženska, ženska: svetel ten kože in rdeči lasje
👩🏼‍🦰	dekle, rdeči lasje, srednje svetel ten kože, ženska, ženska: srednje svetel ten kože in rdeči lasje
👩🏽‍🦰	dekle, rdeči lasje, srednji ten kože, ženska, ženska: srednji ten kože in rdeči lasje
👩🏾‍🦰	dekle, rdeči lasje, srednje temen ten kože, ženska, ženska: srednje temen ten kože in rdeči lasje
👩🏿‍🦰	dekle, rdeči lasje, temen ten kože, ženska, ženska: temen ten kože in rdeči lasje
👩‍🦱	dekle, kodrasti lasje, ženska, ženska: kodrasti lasje
👩🏻‍🦱	dekle, kodrasti lasje, svetel ten kože, ženska, ženska: svetel ten kože in kodrasti lasje
👩🏼‍🦱	dekle, kodrasti lasje, srednje svetel ten kože, ženska, ženska: srednje svetel ten kože in kodrasti lasje
👩🏽‍🦱	dekle, kodrasti lasje, srednji ten kože, ženska, ženska: srednji ten kože in kodrasti lasje
👩🏾‍🦱	dekle, kodrasti lasje, srednje temen ten kože, ženska, ženska: srednje temen ten kože in kodrasti lasje
👩🏿‍🦱	dekle, kodrasti lasje, temen ten kože, ženska, ženska: temen ten kože in kodrasti lasje
👩‍🦳	dekle, sivi lasje, ženska, ženska: sivi lasje
👩🏻‍🦳	dekle, sivi lasje, svetel ten kože, ženska, ženska: svetel ten kože in sivi lasje
👩🏼‍🦳	dekle, sivi lasje, srednje svetel ten kože, ženska, ženska: srednje svetel ten kože in sivi lasje
👩🏽‍🦳	dekle, sivi lasje, srednji ten kože, ženska, ženska: srednji ten kože in sivi lasje
👩🏾‍🦳	dekle, sivi lasje, srednje temen ten kože, ženska, ženska: srednje temen ten kože in sivi lasje
👩🏿‍🦳	dekle, sivi lasje, temen ten kože, ženska, ženska: temen ten kože in sivi lasje
👩‍🦲	dekle, plešast, ženska, ženska: plešast
👩🏻‍🦲	dekle, plešast, svetel ten kože, ženska, ženska: svetel ten kože in plešast
👩🏼‍🦲	dekle, plešast, srednje svetel ten kože, ženska, ženska: srednje svetel ten kože in plešast
👩🏽‍🦲	dekle, plešast, srednji ten kože, ženska, ženska: srednji ten kože in plešast
👩🏾‍🦲	dekle, plešast, srednje temen ten kože, ženska, ženska: srednje temen ten kože in plešast
👩🏿‍🦲	dekle, plešast, temen ten kože, ženska, ženska: temen ten kože in plešast
🧓	spolno nevtralen, starejši, starejši odrasli
🧓🏻	spolno nevtralen, starejši, starejši odrasli, starejši odrasli: svetel ten kože, svetel ten kože
🧓🏼	spolno nevtralen, srednje svetel ten kože, starejši, starejši odrasli, starejši odrasli: srednje svetel ten kože
🧓🏽	spolno nevtralen, srednji ten kože, starejši, starejši odrasli, starejši odrasli: srednji ten kože
🧓🏾	spolno nevtralen, srednje temen ten kože, starejši, starejši odrasli, starejši odrasli: srednje temen ten kože
🧓🏿	spolno nevtralen, starejši, starejši odrasli, starejši odrasli: temen ten kože, temen ten kože
👴	moški, starec, staro
👴🏻	moški, starec, starec: svetel ten kože, staro, svetel ten kože
👴🏼	moški, srednje svetel ten kože, starec, starec: srednje svetel ten kože, staro
👴🏽	moški, srednji ten kože, starec, starec: srednji ten kože, staro
👴🏾	moški, srednje temen ten kože, starec, starec: srednje temen ten kože, staro
👴🏿	moški, starec, starec: temen ten kože, staro, temen ten kože
👵	starka, staro, ženska
👵🏻	starka, starka: svetel ten kože, staro, svetel ten kože, ženska
👵🏼	srednje svetel ten kože, starka, starka: srednje svetel ten kože, staro, ženska
👵🏽	srednji ten kože, starka, starka: srednji ten kože, staro, ženska
👵🏾	srednje temen ten kože, starka, starka: srednje temen ten kože, staro, ženska
👵🏿	starka, starka: temen ten kože, staro, temen ten kože, ženska
