😀	зубы, усмешка, шырока ўсміхаецца
💅🏼	догляд, касметыка, лак для ногцяў, лак для ногцяў: сярэдне-светлы тон скуры, ногці, рука, сярэдне-светлы тон скуры
💅🏽	догляд, касметыка, лак для ногцяў, лак для ногцяў: сярэдні тон скуры, ногці, рука, сярэдні тон скуры
💅🏾	догляд, касметыка, лак для ногцяў, лак для ногцяў: сярэдне-цёмны тон скуры, ногці, рука, сярэдне-цёмны тон скуры
💅🏿	догляд, касметыка, лак для ногцяў, лак для ногцяў: цёмны тон скуры, ногці, рука, цёмны тон скуры
🤳	сэлфі, тэлефон, фота
🤳🏻	светлы тон скуры, сэлфі, сэлфі: светлы тон скуры, тэлефон, фота
🤳🏼	сэлфі, сэлфі: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, тэлефон, фота
🤳🏽	сэлфі, сэлфі: сярэдні тон скуры, сярэдні тон скуры, тэлефон, фота
🤳🏾	сэлфі, сэлфі: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, тэлефон, фота
🤳🏿	сэлфі, сэлфі: цёмны тон скуры, тэлефон, фота, цёмны тон скуры
💪	біцэпс, дэманстрацыя біцэпса, мышцы, спорт, цела
💪🏻	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: светлы тон скуры, мышцы, светлы тон скуры, спорт, цела
💪🏼	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: сярэдне-светлы тон скуры, мышцы, спорт, сярэдне-светлы тон скуры, цела
💪🏽	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: сярэдні тон скуры, мышцы, спорт, сярэдні тон скуры, цела
💪🏾	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: сярэдне-цёмны тон скуры, мышцы, спорт, сярэдне-цёмны тон скуры, цела
💪🏿	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: цёмны тон скуры, мышцы, спорт, цела, цёмны тон скуры
🦾	даступнасць, механічная рука, пратэз
