😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🤚🏿	ಅಂಗೈ ಹಿಂಭಾಗ, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು, ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸು
🖐️	ಕೈ ಎತ್ತಿರುವುದು, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ
🖐🏻	ಕೈ ಎತ್ತಿರುವುದು, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🖐🏼	ಕೈ ಎತ್ತಿರುವುದು, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🖐🏽	ಕೈ ಎತ್ತಿರುವುದು, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🖐🏾	ಕೈ ಎತ್ತಿರುವುದು, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🖐🏿	ಕೈ ಎತ್ತಿರುವುದು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ, ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
✋	ಎತ್ತಿದ ಕೈ, ಎತ್ತಿರುವ ಕೈ
✋🏻	ಎತ್ತಿದ ಕೈ, ಎತ್ತಿರುವ ಕೈ, ಎತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
✋🏼	ಎತ್ತಿದ ಕೈ, ಎತ್ತಿರುವ ಕೈ, ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
✋🏽	ಎತ್ತಿದ ಕೈ, ಎತ್ತಿರುವ ಕೈ, ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
✋🏾	ಎತ್ತಿದ ಕೈ, ಎತ್ತಿರುವ ಕೈ, ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
✋🏿	ಎತ್ತಿದ ಕೈ, ಎತ್ತಿರುವ ಕೈ, ಎತ್ತಿರುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🖖	ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್, ಸಲ್ಯೂಟ್
🖖🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಲ್ಯೂಟ್
🖖🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಲ್ಯೂಟ್
🖖🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸಲ್ಯೂಟ್
🖖🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಲ್ಯೂಟ್
🖖🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್, ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಲ್ಯೂಟ್
👌	ಉತ್ತಮ, ಸರಿ ಕೈ, ಸರಿ ಚಿಹ್ನೆ
👌🏻	ಉತ್ತಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಕೈ, ಸರಿ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಚಿಹ್ನೆ
👌🏼	ಉತ್ತಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಕೈ, ಸರಿ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಚಿಹ್ನೆ
👌🏽	ಉತ್ತಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಕೈ, ಸರಿ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಚಿಹ್ನೆ
👌🏾	ಉತ್ತಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಕೈ, ಸರಿ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಚಿಹ್ನೆ
👌🏿	ಉತ್ತಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಕೈ, ಸರಿ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ ಚಿಹ್ನೆ
🤏	ಕಡಿಮೆ ಹಣ, ಗಿಲ್ಲುವ ಕೈ
🤏🏻	ಕಡಿಮೆ ಹಣ, ಗಿಲ್ಲುವ ಕೈ, ಗಿಲ್ಲುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤏🏼	ಕಡಿಮೆ ಹಣ, ಗಿಲ್ಲುವ ಕೈ, ಗಿಲ್ಲುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤏🏽	ಕಡಿಮೆ ಹಣ, ಗಿಲ್ಲುವ ಕೈ, ಗಿಲ್ಲುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤏🏾	ಕಡಿಮೆ ಹಣ, ಗಿಲ್ಲುವ ಕೈ, ಗಿಲ್ಲುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤏🏿	ಕಡಿಮೆ ಹಣ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಿಲ್ಲುವ ಕೈ, ಗಿಲ್ಲುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
✌️	ವಿಜಯ, ವಿಜಯದ ಕೈ
✌🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವಿಜಯ, ವಿಜಯದ ಕೈ, ವಿಜಯದ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
✌🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವಿಜಯ, ವಿಜಯದ ಕೈ, ವಿಜಯದ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
✌🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವಿಜಯ, ವಿಜಯದ ಕೈ, ವಿಜಯದ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
✌🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವಿಜಯ, ವಿಜಯದ ಕೈ, ವಿಜಯದ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
✌🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವಿಜಯ, ವಿಜಯದ ಕೈ, ವಿಜಯದ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤞	ಅದೃಷ್ಟ, ಕೈ, ತಿರುಪುವಿಕೆ, ನಿರೀಕ್ಷೆ, ಬೆರಳು
🤞🏻	ಅದೃಷ್ಟ, ಕೈ, ತಿರುಪುವಿಕೆ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನಿರೀಕ್ಷೆ, ನಿರೀಕ್ಷೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬೆರಳು
🤞🏼	ಅದೃಷ್ಟ, ಕೈ, ತಿರುಪುವಿಕೆ, ನಿರೀಕ್ಷೆ, ನಿರೀಕ್ಷೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬೆರಳು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤞🏽	ಅದೃಷ್ಟ, ಕೈ, ತಿರುಪುವಿಕೆ, ನಿರೀಕ್ಷೆ, ನಿರೀಕ್ಷೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬೆರಳು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤞🏾	ಅದೃಷ್ಟ, ಕೈ, ತಿರುಪುವಿಕೆ, ನಿರೀಕ್ಷೆ, ನಿರೀಕ್ಷೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬೆರಳು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤞🏿	ಅದೃಷ್ಟ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿರುಪುವಿಕೆ, ನಿರೀಕ್ಷೆ, ನಿರೀಕ್ಷೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬೆರಳು
🤟	ಐಎಲ್‌ವೈ, ಕೈ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ
🤟🏻	ಐಎಲ್‌ವೈ, ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤟🏼	ಐಎಲ್‌ವೈ, ಕೈ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤟🏽	ಐಎಲ್‌ವೈ, ಕೈ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤟🏾	ಐಎಲ್‌ವೈ, ಕೈ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤟🏿	ಐಎಲ್‌ವೈ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ, ಪ್ರೀತಿಸುತ್ತೇನೆ ಸೂಚನೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤘	ಕೊಂಬು, ಕೊಂಬುಗಳ ಸೂಚನೆ, ಕೊಂಬುಗಳು
🤘🏻	ಕೊಂಬು, ಕೊಂಬುಗಳ ಸೂಚನೆ, ಕೊಂಬುಗಳ ಸೂಚನೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೊಂಬುಗಳು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤘🏼	ಕೊಂಬು, ಕೊಂಬುಗಳ ಸೂಚನೆ, ಕೊಂಬುಗಳ ಸೂಚನೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೊಂಬುಗಳು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤘🏽	ಕೊಂಬು, ಕೊಂಬುಗಳ ಸೂಚನೆ, ಕೊಂಬುಗಳ ಸೂಚನೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೊಂಬುಗಳು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤘🏾	ಕೊಂಬು, ಕೊಂಬುಗಳ ಸೂಚನೆ, ಕೊಂಬುಗಳ ಸೂಚನೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೊಂಬುಗಳು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤘🏿	ಕೊಂಬು, ಕೊಂಬುಗಳ ಸೂಚನೆ, ಕೊಂಬುಗಳ ಸೂಚನೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೊಂಬುಗಳು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤙	ಕರೆ ಮಾಡು, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ, ಕೈ
🤙🏻	ಕರೆ ಮಾಡು, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤙🏼	ಕರೆ ಮಾಡು, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤙🏽	ಕರೆ ಮಾಡು, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤙🏾	ಕರೆ ಮಾಡು, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤙🏿	ಕರೆ ಮಾಡು, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ, ಕರೆ ಮಾಡು ಸಂಜ್ಞೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👈️	ತೋರಿಸುತ್ತಿರುವುದು, ತೋರ್ಬೆರಳು, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ
👈🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸುತ್ತಿರುವುದು, ತೋರ್ಬೆರಳು, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👈🏼	ತೋರಿಸುತ್ತಿರುವುದು, ತೋರ್ಬೆರಳು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👈🏽	ತೋರಿಸುತ್ತಿರುವುದು, ತೋರ್ಬೆರಳು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👈🏾	ತೋರಿಸುತ್ತಿರುವುದು, ತೋರ್ಬೆರಳು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👈🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತೋರಿಸುತ್ತಿರುವುದು, ತೋರ್ಬೆರಳು, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಎಡಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👉️	ಬಲ ತೋರ್ಬೆರಳು, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ
👉🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಲ ತೋರ್ಬೆರಳು, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👉🏼	ಬಲ ತೋರ್ಬೆರಳು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👉🏽	ಬಲ ತೋರ್ಬೆರಳು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👉🏾	ಬಲ ತೋರ್ಬೆರಳು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👉🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಲ ತೋರ್ಬೆರಳು, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ, ಹಿಮ್ಮುಖ ಸೂಚ್ಯಂಕ ಬಲಕ್ಕೆ ಸೂಚಿಸುತ್ತದೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👆️	ಮೇಲಕ್ಕೆ ಬೆರಳು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು
👆🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👆🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👆🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👆🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👆🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು, ಹಿಂಬದಿಯ ಕೈ ಮೇಲಕ್ಕೆ ತೋರಿಸುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🖕	ಮಧ್ಯದ ಬೆರಳು, ಮೇಲಕ್ಕೆ ಬೆರಳು
🖕🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯದ ಬೆರಳು, ಮಧ್ಯದ ಬೆರಳು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು
🖕🏼	ಮಧ್ಯದ ಬೆರಳು, ಮಧ್ಯದ ಬೆರಳು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು
🖕🏽	ಮಧ್ಯದ ಬೆರಳು, ಮಧ್ಯದ ಬೆರಳು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು
🖕🏾	ಮಧ್ಯದ ಬೆರಳು, ಮಧ್ಯದ ಬೆರಳು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು
🖕🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯದ ಬೆರಳು, ಮಧ್ಯದ ಬೆರಳು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮೇಲಕ್ಕೆ ಬೆರಳು
