😀	față, față încântată, încântare
🙏	mulțumiri, mâini, mâini unite, rugăciune, te rog
🙏🏻	mulțumiri, mâini, mâini unite, mâini unite: ton deschis al pielii, rugăciune, te rog, ton deschis al pielii
🙏🏼	mulțumiri, mâini, mâini unite, mâini unite: ton semi‑deschis al pielii, rugăciune, te rog, ton semi‑deschis al pielii
🙏🏽	mulțumiri, mâini, mâini unite, mâini unite: ton mediu al pielii, rugăciune, te rog, ton mediu al pielii
🙏🏾	mulțumiri, mâini, mâini unite, mâini unite: ton semi‑închis al pielii, rugăciune, te rog, ton semi‑închis al pielii
🙏🏿	mulțumiri, mâini, mâini unite, mâini unite: ton închis al pielii, rugăciune, te rog, ton închis al pielii
✍️	mână, mână scriind, scris
✍🏻	mână, mână scriind, mână scriind: ton deschis al pielii, scris, ton deschis al pielii
✍🏼	mână, mână scriind, mână scriind: ton semi‑deschis al pielii, scris, ton semi‑deschis al pielii
✍🏽	mână, mână scriind, mână scriind: ton mediu al pielii, scris, ton mediu al pielii
✍🏾	mână, mână scriind, mână scriind: ton semi‑închis al pielii, scris, ton semi‑închis al pielii
✍🏿	mână, mână scriind, mână scriind: ton închis al pielii, scris, ton închis al pielii
💅	lac de unghii, manichiură, ojă, ojă pe unghii, unghie
💅🏻	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton deschis al pielii, ton deschis al pielii, unghie
💅🏼	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton semi‑deschis al pielii, ton semi‑deschis al pielii, unghie
💅🏽	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton mediu al pielii, ton mediu al pielii, unghie
💅🏾	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton semi‑închis al pielii, ton semi‑închis al pielii, unghie
💅🏿	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton închis al pielii, ton închis al pielii, unghie
🤳	aparat de fotografiat, selfie, telefon
🤳🏻	aparat de fotografiat, selfie, selfie: ton deschis al pielii, telefon, ton deschis al pielii
🤳🏼	aparat de fotografiat, selfie, selfie: ton semi‑deschis al pielii, telefon, ton semi‑deschis al pielii
🤳🏽	aparat de fotografiat, selfie, selfie: ton mediu al pielii, telefon, ton mediu al pielii
🤳🏾	aparat de fotografiat, selfie, selfie: ton semi‑închis al pielii, telefon, ton semi‑închis al pielii
🤳🏿	aparat de fotografiat, selfie, selfie: ton închis al pielii, telefon, ton închis al pielii
💪	amuzant, biceps flexat, corp, forță, mușchi
💪🏻	amuzant, biceps flexat, biceps flexat: ton deschis al pielii, corp, forță, mușchi, ton deschis al pielii
💪🏼	amuzant, biceps flexat, biceps flexat: ton semi‑deschis al pielii, corp, forță, mușchi, ton semi‑deschis al pielii
💪🏽	amuzant, biceps flexat, biceps flexat: ton mediu al pielii, corp, forță, mușchi, ton mediu al pielii
💪🏾	amuzant, biceps flexat, biceps flexat: ton semi‑închis al pielii, corp, forță, mușchi, ton semi‑închis al pielii
💪🏿	amuzant, biceps flexat, biceps flexat: ton închis al pielii, corp, forță, mușchi, ton închis al pielii
🦾	accesibilitate, braț mecanic, protetic, proteză
🦿	accesibilitate, picior mecanic, protetic, proteză
🦵	membru, picior, șut
🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
🦵🏼	membru, picior, picior: ton semi‑deschis al pielii, ton semi‑deschis al pielii, șut
🦵🏽	membru, picior, picior: ton mediu al pielii, ton mediu al pielii, șut
🦵🏾	membru, picior, picior: ton semi‑închis al pielii, ton semi‑închis al pielii, șut
🦵🏿	membru, picior, picior: ton închis al pielii, ton închis al pielii, șut
🦶	călcat, laba piciorului, șut
🦶🏻	călcat, laba piciorului, laba piciorului: ton deschis al pielii, ton deschis al pielii, șut
🦶🏼	călcat, laba piciorului, laba piciorului: ton semi‑deschis al pielii, ton semi‑deschis al pielii, șut
🦶🏽	călcat, laba piciorului, laba piciorului: ton mediu al pielii, ton mediu al pielii, șut
🦶🏾	călcat, laba piciorului, laba piciorului: ton semi‑închis al pielii, ton semi‑închis al pielii, șut
🦶🏿	călcat, laba piciorului, laba piciorului: ton închis al pielii, ton închis al pielii, șut
👂️	corp, ureche
👂🏻	corp, ton deschis al pielii, ureche, ureche: ton deschis al pielii
👂🏼	corp, ton semi‑deschis al pielii, ureche, ureche: ton semi‑deschis al pielii
👂🏽	corp, ton mediu al pielii, ureche, ureche: ton mediu al pielii
👂🏾	corp, ton semi‑închis al pielii, ureche, ureche: ton semi‑închis al pielii
👂🏿	corp, ton închis al pielii, ureche, ureche: ton închis al pielii
🦻	accesibilitate, deficiențe auditive, hipoacuzie, ureche cu proteză auditivă
🦻🏻	accesibilitate, deficiențe auditive, hipoacuzie, ton deschis al pielii, ureche cu proteză auditivă, ureche cu proteză auditivă: ton deschis al pielii
🦻🏼	accesibilitate, deficiențe auditive, hipoacuzie, ton semi‑deschis al pielii, ureche cu proteză auditivă, ureche cu proteză auditivă: ton semi‑deschis al pielii
🦻🏽	accesibilitate, deficiențe auditive, hipoacuzie, ton mediu al pielii, ureche cu proteză auditivă, ureche cu proteză auditivă: ton mediu al pielii
🦻🏾	accesibilitate, deficiențe auditive, hipoacuzie, ton semi‑închis al pielii, ureche cu proteză auditivă, ureche cu proteză auditivă: ton semi‑închis al pielii
🦻🏿	accesibilitate, deficiențe auditive, hipoacuzie, ton închis al pielii, ureche cu proteză auditivă, ureche cu proteză auditivă: ton închis al pielii
👃	corp, nas
👃🏻	corp, nas, nas: ton deschis al pielii, ton deschis al pielii
👃🏼	corp, nas, nas: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👃🏽	corp, nas, nas: ton mediu al pielii, ton mediu al pielii
👃🏾	corp, nas, nas: ton semi‑închis al pielii, ton semi‑închis al pielii
👃🏿	corp, nas, nas: ton închis al pielii, ton închis al pielii
🧠	creier, inteligent
🦷	dentist, dinte, stomatolog
🦴	os, schelet
👀	doi, doi ochi, față, ochi
👁️	corp, un ochi
👅	corp, limbă
👄	buze, gură, limbă
👶	bebe, bebeluș, copilaș, tânăr
👶🏻	bebe, bebeluș, bebeluș: ton deschis al pielii, copilaș, ton deschis al pielii, tânăr
👶🏼	bebe, bebeluș, bebeluș: ton semi‑deschis al pielii, copilaș, ton semi‑deschis al pielii, tânăr
👶🏽	bebe, bebeluș, bebeluș: ton mediu al pielii, copilaș, ton mediu al pielii, tânăr
👶🏾	bebe, bebeluș, bebeluș: ton semi‑închis al pielii, copilaș, ton semi‑închis al pielii, tânăr
👶🏿	bebe, bebeluș, bebeluș: ton închis al pielii, copilaș, ton închis al pielii, tânăr
🧒	copil, neutru, tânăr
🧒🏻	copil, copil: ton deschis al pielii, neutru, ton deschis al pielii, tânăr
🧒🏼	copil, copil: ton semi‑deschis al pielii, neutru, ton semi‑deschis al pielii, tânăr
🧒🏽	copil, copil: ton mediu al pielii, neutru, ton mediu al pielii, tânăr
🧒🏾	copil, copil: ton semi‑închis al pielii, neutru, ton semi‑închis al pielii, tânăr
🧒🏿	copil, copil: ton închis al pielii, neutru, ton închis al pielii, tânăr
👦	băiat, copil, tânăr
👦🏻	băiat, băiat: ton deschis al pielii, copil, ton deschis al pielii, tânăr
👦🏼	băiat, băiat: ton semi‑deschis al pielii, copil, ton semi‑deschis al pielii, tânăr
👦🏽	băiat, băiat: ton mediu al pielii, copil, ton mediu al pielii, tânăr
👦🏾	băiat, băiat: ton semi‑închis al pielii, copil, ton semi‑închis al pielii, tânăr
👦🏿	băiat, băiat: ton închis al pielii, copil, ton închis al pielii, tânăr
👧	Fecioară, copil, fată, tânără, zodiac
👧🏻	Fecioară, copil, fată, fată: ton deschis al pielii, ton deschis al pielii, tânără, zodiac
👧🏼	Fecioară, copil, fată, fată: ton semi‑deschis al pielii, ton semi‑deschis al pielii, tânără, zodiac
👧🏽	Fecioară, copil, fată, fată: ton mediu al pielii, ton mediu al pielii, tânără, zodiac
👧🏾	Fecioară, copil, fată, fată: ton semi‑închis al pielii, ton semi‑închis al pielii, tânără, zodiac
👧🏿	Fecioară, copil, fată, fată: ton închis al pielii, ton închis al pielii, tânără, zodiac
🧑	adult, neutru, persoană
🧑🏻	adult, adult: ton deschis al pielii, neutru, persoană, ton deschis al pielii
🧑🏼	adult, adult: ton semi‑deschis al pielii, neutru, persoană, ton semi‑deschis al pielii
🧑🏽	adult, adult: ton mediu al pielii, neutru, persoană, ton mediu al pielii
🧑🏾	adult, adult: ton semi‑închis al pielii, neutru, persoană, ton semi‑închis al pielii
🧑🏿	adult, adult: ton închis al pielii, neutru, persoană, ton închis al pielii
👱	blond, om, persoană blondă, persoană cu păr blond, păr
👱🏻	blond, om, persoană blondă, persoană blondă: ton deschis al pielii, persoană cu păr blond, păr, ton deschis al pielii
👱🏼	blond, om, persoană blondă, persoană blondă: ton semi‑deschis al pielii, persoană cu păr blond, păr, ton semi‑deschis al pielii
👱🏽	blond, om, persoană blondă, persoană blondă: ton mediu al pielii, persoană cu păr blond, păr, ton mediu al pielii
👱🏾	blond, om, persoană blondă, persoană blondă: ton semi‑închis al pielii, persoană cu păr blond, păr, ton semi‑închis al pielii
👱🏿	blond, om, persoană blondă, persoană blondă: ton închis al pielii, persoană cu păr blond, păr, ton închis al pielii
👨	adult, bărbat
👨🏻	adult, bărbat, bărbat: ton deschis al pielii, ton deschis al pielii
👨🏼	adult, bărbat, bărbat: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👨🏽	adult, bărbat, bărbat: ton mediu al pielii, ton mediu al pielii
👨🏾	adult, bărbat, bărbat: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿	adult, bărbat, bărbat: ton închis al pielii, ton închis al pielii
🧔	barbă, bărbat, bărbat cu barbă, persoană
🧔🏻	barbă, bărbat, bărbat cu barbă, bărbat cu barbă: ton deschis al pielii, persoană, ton deschis al pielii
🧔🏼	barbă, bărbat, bărbat cu barbă, bărbat cu barbă: ton semi‑deschis al pielii, persoană, ton semi‑deschis al pielii
🧔🏽	barbă, bărbat, bărbat cu barbă, bărbat cu barbă: ton mediu al pielii, persoană, ton mediu al pielii
🧔🏾	barbă, bărbat, bărbat cu barbă, bărbat cu barbă: ton semi‑închis al pielii, persoană, ton semi‑închis al pielii
🧔🏿	barbă, bărbat, bărbat cu barbă, bărbat cu barbă: ton închis al pielii, persoană, ton închis al pielii
👱‍♂	blond, bărbat, bărbat blond, bărbat cu păr blond, păr
👱🏻‍♂	blond, bărbat, bărbat blond: ton deschis al pielii, bărbat cu păr blond, păr, ton deschis al pielii
👱🏼‍♂	blond, bărbat, bărbat blond: ton semi‑deschis al pielii, bărbat cu păr blond, păr, ton semi‑deschis al pielii
👱🏽‍♂	blond, bărbat, bărbat blond: ton mediu al pielii, bărbat cu păr blond, păr, ton mediu al pielii
👱🏾‍♂	blond, bărbat, bărbat blond: ton semi‑închis al pielii, bărbat cu păr blond, păr, ton semi‑închis al pielii
👱🏿‍♂	blond, bărbat, bărbat blond: ton închis al pielii, bărbat cu păr blond, păr, ton închis al pielii
👨‍🦰	adult, bărbat, bărbat: păr roșcat, păr roșcat
👨🏻‍🦰	adult, bărbat, bărbat: ton deschis al pielii, păr roșcat, păr roșcat, ton deschis al pielii
👨🏼‍🦰	adult, bărbat, bărbat: ton semi‑deschis al pielii, păr roșcat, păr roșcat, ton semi‑deschis al pielii
👨🏽‍🦰	adult, bărbat, bărbat: ton mediu al pielii, păr roșcat, păr roșcat, ton mediu al pielii
👨🏾‍🦰	adult, bărbat, bărbat: ton semi‑închis al pielii, păr roșcat, păr roșcat, ton semi‑închis al pielii
👨🏿‍🦰	adult, bărbat, bărbat: ton închis al pielii, păr roșcat, păr roșcat, ton închis al pielii
👨‍🦱	adult, bărbat, bărbat: păr creț, păr creț
👨🏻‍🦱	adult, bărbat, bărbat: ton deschis al pielii, păr creț, păr creț, ton deschis al pielii
👨🏼‍🦱	adult, bărbat, bărbat: ton semi‑deschis al pielii, păr creț, păr creț, ton semi‑deschis al pielii
👨🏽‍🦱	adult, bărbat, bărbat: ton mediu al pielii, păr creț, păr creț, ton mediu al pielii
👨🏾‍🦱	adult, bărbat, bărbat: ton semi‑închis al pielii, păr creț, păr creț, ton semi‑închis al pielii
👨🏿‍🦱	adult, bărbat, bărbat: ton închis al pielii, păr creț, păr creț, ton închis al pielii
👨‍🦳	adult, bărbat, bărbat: păr alb, păr alb
👨🏻‍🦳	adult, bărbat, bărbat: ton deschis al pielii, păr alb, păr alb, ton deschis al pielii
👨🏼‍🦳	adult, bărbat, bărbat: ton semi‑deschis al pielii, păr alb, păr alb, ton semi‑deschis al pielii
👨🏽‍🦳	adult, bărbat, bărbat: ton mediu al pielii, păr alb, păr alb, ton mediu al pielii
👨🏾‍🦳	adult, bărbat, bărbat: ton semi‑închis al pielii, păr alb, păr alb, ton semi‑închis al pielii
👨🏿‍🦳	adult, bărbat, bărbat: ton închis al pielii, păr alb, păr alb, ton închis al pielii
👨‍🦲	adult, bărbat, bărbat: chelie, chelie
👨🏻‍🦲	adult, bărbat, bărbat: ton deschis al pielii, chelie, chelie, ton deschis al pielii
👨🏼‍🦲	adult, bărbat, bărbat: ton semi‑deschis al pielii, chelie, chelie, ton semi‑deschis al pielii
👨🏽‍🦲	adult, bărbat, bărbat: ton mediu al pielii, chelie, chelie, ton mediu al pielii
👨🏾‍🦲	adult, bărbat, bărbat: ton semi‑închis al pielii, chelie, chelie, ton semi‑închis al pielii
👨🏿‍🦲	adult, bărbat, bărbat: ton închis al pielii, chelie, chelie, ton închis al pielii
👩	adultă, femeie
👩🏻	adultă, femeie, femeie: ton deschis al pielii, ton deschis al pielii
👩🏼	adultă, femeie, femeie: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👩🏽	adultă, femeie, femeie: ton mediu al pielii, ton mediu al pielii
👩🏾	adultă, femeie, femeie: ton semi‑închis al pielii, ton semi‑închis al pielii
👩🏿	adultă, femeie, femeie: ton închis al pielii, ton închis al pielii
👱‍♀	blondă, femeie, femeie blondă, femeie cu păr blond, păr
