😀	মুখ, হাঁহি, হাস্য মুখী
👈🏽	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
👈🏾	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👈🏿	আঙুলি, ক’লা ছালৰ ৰং, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি বাওঁফালে নিৰ্দেশ কৰা: ক’লা ছালৰ ৰং, হাত
👉️	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা, হাত
👉🏻	আঙুলি, তৰ্জনী, নিৰ্দেশ, পাতল ছালৰ ৰং, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা: পাতল ছালৰ ৰং, হাত
👉🏼	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👉🏽	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
👉🏾	আঙুলি, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👉🏿	আঙুলি, ক’লা ছালৰ ৰং, তৰ্জনী, নিৰ্দেশ, বাওঁহাত, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী আঙুলি সোঁফালে নিৰ্দেশ কৰা: ক’লা ছালৰ ৰং, হাত
👆️	আঙুলি, ওপৰ, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, হাত
👆🏻	আঙুলি, ওপৰ, তৰ্জনী, নিৰ্দেশ কৰা, পাতল ছালৰ ৰং, বাওঁহাত, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: পাতল ছালৰ ৰং, হাত
👆🏼	আঙুলি, ওপৰ, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👆🏽	আঙুলি, ওপৰ, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
👆🏾	আঙুলি, ওপৰ, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👆🏿	আঙুলি, ওপৰ, ক’লা ছালৰ ৰং, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: ক’লা ছালৰ ৰং, হাত
🖕	আঙুলি, মধ্যমা আঙুলি, হাত
🖕🏻	আঙুলি, পাতল ছালৰ ৰং, মধ্যমা আঙুলি, মধ্যমা আঙুলি: পাতল ছালৰ ৰং, হাত
🖕🏼	আঙুলি, মধ্যমা আঙুলি, মধ্যমা আঙুলি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
🖕🏽	আঙুলি, মধ্যমা আঙুলি, মধ্যমা আঙুলি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
🖕🏾	আঙুলি, মধ্যমা আঙুলি, মধ্যমা আঙুলি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
🖕🏿	আঙুলি, ক’লা ছালৰ ৰং, মধ্যমা আঙুলি, মধ্যমা আঙুলি: ক’লা ছালৰ ৰং, হাত
👇️	আঙুলি, তলফাল, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা, হাত
👇🏻	আঙুলি, তলফাল, তৰ্জনী, নিৰ্দেশ কৰা, পাতল ছালৰ ৰং, বাওঁহাত, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা: পাতল ছালৰ ৰং, হাত
👇🏼	আঙুলি, তলফাল, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👇🏽	আঙুলি, তলফাল, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
👇🏾	আঙুলি, তলফাল, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👇🏿	আঙুলি, ক’লা ছালৰ ৰং, তলফাল, তৰ্জনী, নিৰ্দেশ কৰা, বাওঁহাত, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা, বাওঁহাতৰ তৰ্জনী তলফালে নিৰ্দেশ কৰা: ক’লা ছালৰ ৰং, হাত
☝️	আঙুলি, ওপৰ, তৰ্জনী, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, নিৰ্দেশ কৰা, হাত
☝🏻	আঙুলি, ওপৰ, তৰ্জনী, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: পাতল ছালৰ ৰং, নিৰ্দেশ কৰা, পাতল ছালৰ ৰং, হাত
☝🏼	আঙুলি, ওপৰ, তৰ্জনী, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং, নিৰ্দেশ কৰা, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
☝🏽	আঙুলি, ওপৰ, তৰ্জনী, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: মধ্যমীয়া ছালৰ ৰং, নিৰ্দেশ কৰা, মধ্যমীয়া ছালৰ ৰং, হাত
☝🏾	আঙুলি, ওপৰ, তৰ্জনী, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং, নিৰ্দেশ কৰা, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
☝🏿	আঙুলি, ওপৰ, ক’লা ছালৰ ৰং, তৰ্জনী, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা, তৰ্জনী ওপৰলৈ নিৰ্দেশ কৰা: ক’লা ছালৰ ৰং, নিৰ্দেশ কৰা, হাত
👍️	+১, ওপৰ, বুঢ়া আঙুলি, ভাল কৰিছো, হাত
👍🏻	+১, ওপৰ, পাতল ছালৰ ৰং, বুঢ়া আঙুলি, ভাল কৰিছো, ভাল কৰিছো: পাতল ছালৰ ৰং, হাত
👍🏼	+১, ওপৰ, বুঢ়া আঙুলি, ভাল কৰিছো, ভাল কৰিছো: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👍🏽	+১, ওপৰ, বুঢ়া আঙুলি, ভাল কৰিছো, ভাল কৰিছো: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
👍🏾	+১, ওপৰ, বুঢ়া আঙুলি, ভাল কৰিছো, ভাল কৰিছো: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👍🏿	+১, ওপৰ, ক’লা ছালৰ ৰং, বুঢ়া আঙুলি, ভাল কৰিছো, ভাল কৰিছো: ক’লা ছালৰ ৰং, হাত
👎️	-১, তল, বুঢ়া আঙুলি, বুঢ়া আঙুলি তললৈ নমোৱা, হাত
👎🏻	-১, তল, পাতল ছালৰ ৰং, বুঢ়া আঙুলি, বুঢ়া আঙুলি তললৈ নমোৱা, বুঢ়া আঙুলি তললৈ নমোৱা: পাতল ছালৰ ৰং, হাত
👎🏼	-১, তল, বুঢ়া আঙুলি, বুঢ়া আঙুলি তললৈ নমোৱা, বুঢ়া আঙুলি তললৈ নমোৱা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👎🏽	-১, তল, বুঢ়া আঙুলি, বুঢ়া আঙুলি তললৈ নমোৱা, বুঢ়া আঙুলি তললৈ নমোৱা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হাত
