😀	cerenje, lice
💅🏿	kozmetika, lak za nokte, lakiranje noktiju, lakiranje noktiju: tamna boja kože, nokti, tamna boja kože, uljepšavanje
🤳	fotoaparat, selfi, slikanje, telefon
🤳🏻	fotoaparat, selfi, selfi: svijetla boja kože, slikanje, svijetla boja kože, telefon
🤳🏼	fotoaparat, selfi, selfi: umjereno svijetla boja kože, slikanje, telefon, umjereno svijetla boja kože
🤳🏽	fotoaparat, selfi, selfi: umjerena boja kože, slikanje, telefon, umjerena boja kože
🤳🏾	fotoaparat, selfi, selfi: umjereno tamna boja kože, slikanje, telefon, umjereno tamna boja kože
🤳🏿	fotoaparat, selfi, selfi: tamna boja kože, slikanje, tamna boja kože, telefon
💪	bicepsi, mišići, pokazivanje bicepsa, stripovi
💪🏻	bicepsi, mišići, pokazivanje bicepsa, pokazivanje bicepsa: svijetla boja kože, stripovi, svijetla boja kože
💪🏼	bicepsi, mišići, pokazivanje bicepsa, pokazivanje bicepsa: umjereno svijetla boja kože, stripovi, umjereno svijetla boja kože
💪🏽	bicepsi, mišići, pokazivanje bicepsa, pokazivanje bicepsa: umjerena boja kože, stripovi, umjerena boja kože
💪🏾	bicepsi, mišići, pokazivanje bicepsa, pokazivanje bicepsa: umjereno tamna boja kože, stripovi, umjereno tamna boja kože
💪🏿	bicepsi, mišići, pokazivanje bicepsa, pokazivanje bicepsa: tamna boja kože, stripovi, tamna boja kože
🦾	mehanička ruka, pomagalo, proteza, ruka
🦿	mehanička noga, noga, pomagalo, proteza
🦵	noga, udarati nogom, šutirati
🦵🏻	noga, noga: svijetla boja kože, svijetla boja kože, udarati nogom, šutirati
🦵🏼	noga, noga: umjereno svijetla boja kože, udarati nogom, umjereno svijetla boja kože, šutirati
🦵🏽	noga, noga: umjerena boja kože, udarati nogom, umjerena boja kože, šutirati
🦵🏾	noga, noga: umjereno tamna boja kože, udarati nogom, umjereno tamna boja kože, šutirati
🦵🏿	noga, noga: tamna boja kože, tamna boja kože, udarati nogom, šutirati
🦶	korak, stopalo, udarac
🦶🏻	korak, stopalo, stopalo: svijetla boja kože, svijetla boja kože, udarac
🦶🏼	korak, stopalo, stopalo: umjereno svijetla boja kože, udarac, umjereno svijetla boja kože
🦶🏽	korak, stopalo, stopalo: umjerena boja kože, udarac, umjerena boja kože
🦶🏾	korak, stopalo, stopalo: umjereno tamna boja kože, udarac, umjereno tamna boja kože
🦶🏿	korak, stopalo, stopalo: tamna boja kože, tamna boja kože, udarac
👂️	dio tijela, uho
👂🏻	dio tijela, svijetla boja kože, uho, uho: svijetla boja kože
👂🏼	dio tijela, uho, uho: umjereno svijetla boja kože, umjereno svijetla boja kože
👂🏽	dio tijela, uho, uho: umjerena boja kože, umjerena boja kože
👂🏾	dio tijela, uho, uho: umjereno tamna boja kože, umjereno tamna boja kože
👂🏿	dio tijela, tamna boja kože, uho, uho: tamna boja kože
🦻	otežan sluh, pomagalo, uho sa slušnim aparatom
🦻🏻	otežan sluh, pomagalo, svijetla boja kože, uho sa slušnim aparatom, uho sa slušnim aparatom: svijetla boja kože
🦻🏼	otežan sluh, pomagalo, uho sa slušnim aparatom, uho sa slušnim aparatom: umjereno svijetla boja kože, umjereno svijetla boja kože
🦻🏽	otežan sluh, pomagalo, uho sa slušnim aparatom, uho sa slušnim aparatom: umjerena boja kože, umjerena boja kože
🦻🏾	otežan sluh, pomagalo, uho sa slušnim aparatom, uho sa slušnim aparatom: umjereno tamna boja kože, umjereno tamna boja kože
🦻🏿	otežan sluh, pomagalo, tamna boja kože, uho sa slušnim aparatom, uho sa slušnim aparatom: tamna boja kože
👃	dio tijela, nos
👃🏻	dio tijela, nos, nos: svijetla boja kože, svijetla boja kože
👃🏼	dio tijela, nos, nos: umjereno svijetla boja kože, umjereno svijetla boja kože
👃🏽	dio tijela, nos, nos: umjerena boja kože, umjerena boja kože
👃🏾	dio tijela, nos, nos: umjereno tamna boja kože, umjereno tamna boja kože
👃🏿	dio tijela, nos, nos: tamna boja kože, tamna boja kože
🧠	inteligentan, mozak
🦷	stomatolog, zub
🦴	kost, kostur
👀	lice, oči
👁️	oko, tijelo
👅	jezik, tijelo
👄	usne, usta
👶	beba, mlado
👶🏻	beba, beba: svijetla boja kože, mlado, svijetla boja kože
👶🏼	beba, beba: umjereno svijetla boja kože, mlado, umjereno svijetla boja kože
👶🏽	beba, beba: umjerena boja kože, mlado, umjerena boja kože
👶🏾	beba, beba: umjereno tamna boja kože, mlado, umjereno tamna boja kože
👶🏿	beba, beba: tamna boja kože, mlado, tamna boja kože
🧒	dijete, mlado, srednji rod
🧒🏻	dijete, dijete: svijetla boja kože, mlado, srednji rod, svijetla boja kože
🧒🏼	dijete, dijete: umjereno svijetla boja kože, mlado, srednji rod, umjereno svijetla boja kože
🧒🏽	dijete, dijete: umjerena boja kože, mlado, srednji rod, umjerena boja kože
🧒🏾	dijete, dijete: umjereno tamna boja kože, mlado, srednji rod, umjereno tamna boja kože
🧒🏿	dijete, dijete: tamna boja kože, mlado, srednji rod, tamna boja kože
👦	dječak, mladić
👦🏻	dječak, dječak: svijetla boja kože, mladić, svijetla boja kože
👦🏼	dječak, dječak: umjereno svijetla boja kože, mladić, umjereno svijetla boja kože
👦🏽	dječak, dječak: umjerena boja kože, mladić, umjerena boja kože
👦🏾	dječak, dječak: umjereno tamna boja kože, mladić, umjereno tamna boja kože
👦🏿	dječak, dječak: tamna boja kože, mladić, tamna boja kože
👧	djevojka, djevojčica
👧🏻	djevojka, djevojčica, djevojčica: svijetla boja kože, svijetla boja kože
👧🏼	djevojka, djevojčica, djevojčica: umjereno svijetla boja kože, umjereno svijetla boja kože
👧🏽	djevojka, djevojčica, djevojčica: umjerena boja kože, umjerena boja kože
👧🏾	djevojka, djevojčica, djevojčica: umjereno tamna boja kože, umjereno tamna boja kože
👧🏿	djevojka, djevojčica, djevojčica: tamna boja kože, tamna boja kože
🧑	odrasla osoba, srednji rod
🧑🏻	odrasla osoba, odrasla osoba: svijetla boja kože, srednji rod, svijetla boja kože
🧑🏼	odrasla osoba, odrasla osoba: umjereno svijetla boja kože, srednji rod, umjereno svijetla boja kože
🧑🏽	odrasla osoba, odrasla osoba: umjerena boja kože, srednji rod, umjerena boja kože
🧑🏾	odrasla osoba, odrasla osoba: umjereno tamna boja kože, srednji rod, umjereno tamna boja kože
🧑🏿	odrasla osoba, odrasla osoba: tamna boja kože, srednji rod, tamna boja kože
👱	osoba sa plavom kosom, plava kosa
👱🏻	osoba sa plavom kosom, osoba sa plavom kosom: svijetla boja kože, plava kosa, svijetla boja kože
👱🏼	osoba sa plavom kosom, osoba sa plavom kosom: umjereno svijetla boja kože, plava kosa, umjereno svijetla boja kože
👱🏽	osoba sa plavom kosom, osoba sa plavom kosom: umjerena boja kože, plava kosa, umjerena boja kože
👱🏾	osoba sa plavom kosom, osoba sa plavom kosom: umjereno tamna boja kože, plava kosa, umjereno tamna boja kože
👱🏿	osoba sa plavom kosom, osoba sa plavom kosom: tamna boja kože, plava kosa, tamna boja kože
👨	muškarac, muško
👨🏻	muškarac, muškarac: svijetla boja kože, muško, svijetla boja kože
👨🏼	muškarac, muškarac: umjereno svijetla boja kože, muško, umjereno svijetla boja kože
👨🏽	muškarac, muškarac: umjerena boja kože, muško, umjerena boja kože
👨🏾	muškarac, muškarac: umjereno tamna boja kože, muško, umjereno tamna boja kože
👨🏿	muškarac, muškarac: tamna boja kože, muško, tamna boja kože
🧔	brada, osoba s bradom
🧔🏻	brada, osoba s bradom, osoba s bradom: svijetla boja kože, svijetla boja kože
🧔🏼	brada, osoba s bradom, osoba s bradom: umjereno svijetla boja kože, umjereno svijetla boja kože
🧔🏽	brada, osoba s bradom, osoba s bradom: umjerena boja kože, umjerena boja kože
🧔🏾	brada, osoba s bradom, osoba s bradom: umjereno tamna boja kože, umjereno tamna boja kože
🧔🏿	brada, osoba s bradom, osoba s bradom: tamna boja kože, tamna boja kože
👱‍♂	muškarac, plava kosa, plavušan
👱🏻‍♂	muškarac, plava kosa, plavušan, plavušan: svijetla boja kože, svijetla boja kože
👱🏼‍♂	muškarac, plava kosa, plavušan, plavušan: umjereno svijetla boja kože, umjereno svijetla boja kože
👱🏽‍♂	muškarac, plava kosa, plavušan, plavušan: umjerena boja kože, umjerena boja kože
👱🏾‍♂	muškarac, plava kosa, plavušan, plavušan: umjereno tamna boja kože, umjereno tamna boja kože
👱🏿‍♂	muškarac, plava kosa, plavušan, plavušan: tamna boja kože, tamna boja kože
👨‍🦰	crvena kosa, muškarac, muškarac: crvena kosa, muško
👨🏻‍🦰	crvena kosa, muškarac, muškarac: svijetla boja kože i crvena kosa, muško, svijetla boja kože
👨🏼‍🦰	crvena kosa, muškarac, muškarac: umjereno svijetla boja kože i crvena kosa, muško, umjereno svijetla boja kože
👨🏽‍🦰	crvena kosa, muškarac, muškarac: umjerena boja kože i crvena kosa, muško, umjerena boja kože
👨🏾‍🦰	crvena kosa, muškarac, muškarac: umjereno tamna boja kože i crvena kosa, muško, umjereno tamna boja kože
👨🏿‍🦰	crvena kosa, muškarac, muškarac: tamna boja kože i crvena kosa, muško, tamna boja kože
👨‍🦱	kovrdžava kosa, muškarac, muškarac: kovrdžava kosa, muško
👨🏻‍🦱	kovrdžava kosa, muškarac, muškarac: svijetla boja kože i kovrdžava kosa, muško, svijetla boja kože
👨🏼‍🦱	kovrdžava kosa, muškarac, muškarac: umjereno svijetla boja kože i kovrdžava kosa, muško, umjereno svijetla boja kože
👨🏽‍🦱	kovrdžava kosa, muškarac, muškarac: umjerena boja kože i kovrdžava kosa, muško, umjerena boja kože
👨🏾‍🦱	kovrdžava kosa, muškarac, muškarac: umjereno tamna boja kože i kovrdžava kosa, muško, umjereno tamna boja kože
👨🏿‍🦱	kovrdžava kosa, muškarac, muškarac: tamna boja kože i kovrdžava kosa, muško, tamna boja kože
👨‍🦳	muškarac, muškarac: sijeda kosa, muško, sijeda kosa
👨🏻‍🦳	muškarac, muškarac: svijetla boja kože i sijeda kosa, muško, sijeda kosa, svijetla boja kože
👨🏼‍🦳	muškarac, muškarac: umjereno svijetla boja kože i sijeda kosa, muško, sijeda kosa, umjereno svijetla boja kože
👨🏽‍🦳	muškarac, muškarac: umjerena boja kože i sijeda kosa, muško, sijeda kosa, umjerena boja kože
👨🏾‍🦳	muškarac, muškarac: umjereno tamna boja kože i sijeda kosa, muško, sijeda kosa, umjereno tamna boja kože
👨🏿‍🦳	muškarac, muškarac: tamna boja kože i sijeda kosa, muško, sijeda kosa, tamna boja kože
👨‍🦲	muškarac, muškarac: ćelavo, muško, ćelavo
👨🏻‍🦲	muškarac, muškarac: svijetla boja kože i ćelavo, muško, svijetla boja kože, ćelavo
👨🏼‍🦲	muškarac, muškarac: umjereno svijetla boja kože i ćelavo, muško, umjereno svijetla boja kože, ćelavo
👨🏽‍🦲	muškarac, muškarac: umjerena boja kože i ćelavo, muško, umjerena boja kože, ćelavo
👨🏾‍🦲	muškarac, muškarac: umjereno tamna boja kože i ćelavo, muško, umjereno tamna boja kože, ćelavo
👨🏿‍🦲	muškarac, muškarac: tamna boja kože i ćelavo, muško, tamna boja kože, ćelavo
👩	žena, žensko
👩🏻	svijetla boja kože, žena, žena: svijetla boja kože, žensko
👩🏼	umjereno svijetla boja kože, žena, žena: umjereno svijetla boja kože, žensko
👩🏽	umjerena boja kože, žena, žena: umjerena boja kože, žensko
👩🏾	umjereno tamna boja kože, žena, žena: umjereno tamna boja kože, žensko
👩🏿	tamna boja kože, žena, žena: tamna boja kože, žensko
👱‍♀	plava kosa, plavuša, žena
👱🏻‍♀	plava kosa, plavuša, plavuša: svijetla boja kože, svijetla boja kože, žena
👱🏼‍♀	plava kosa, plavuša, plavuša: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
👱🏽‍♀	plava kosa, plavuša, plavuša: umjerena boja kože, umjerena boja kože, žena
👱🏾‍♀	plava kosa, plavuša, plavuša: umjereno tamna boja kože, umjereno tamna boja kože, žena
👱🏿‍♀	plava kosa, plavuša, plavuša: tamna boja kože, tamna boja kože, žena
👩‍🦰	crvena kosa, žena, žena: crvena kosa, žensko
👩🏻‍🦰	crvena kosa, svijetla boja kože, žena, žena: svijetla boja kože i crvena kosa, žensko
👩🏼‍🦰	crvena kosa, umjereno svijetla boja kože, žena, žena: umjereno svijetla boja kože i crvena kosa, žensko
👩🏽‍🦰	crvena kosa, umjerena boja kože, žena, žena: umjerena boja kože i crvena kosa, žensko
👩🏾‍🦰	crvena kosa, umjereno tamna boja kože, žena, žena: umjereno tamna boja kože i crvena kosa, žensko
👩🏿‍🦰	crvena kosa, tamna boja kože, žena, žena: tamna boja kože i crvena kosa, žensko
👩‍🦱	kovrdžava kosa, žena, žena: kovrdžava kosa, žensko
👩🏻‍🦱	kovrdžava kosa, svijetla boja kože, žena, žena: svijetla boja kože i kovrdžava kosa, žensko
👩🏼‍🦱	kovrdžava kosa, umjereno svijetla boja kože, žena, žena: umjereno svijetla boja kože i kovrdžava kosa, žensko
👩🏽‍🦱	kovrdžava kosa, umjerena boja kože, žena, žena: umjerena boja kože i kovrdžava kosa, žensko
👩🏾‍🦱	kovrdžava kosa, umjereno tamna boja kože, žena, žena: umjereno tamna boja kože i kovrdžava kosa, žensko
👩🏿‍🦱	kovrdžava kosa, tamna boja kože, žena, žena: tamna boja kože i kovrdžava kosa, žensko
👩‍🦳	sijeda kosa, žena, žena: sijeda kosa, žensko
👩🏻‍🦳	sijeda kosa, svijetla boja kože, žena, žena: svijetla boja kože i sijeda kosa, žensko
👩🏼‍🦳	sijeda kosa, umjereno svijetla boja kože, žena, žena: umjereno svijetla boja kože i sijeda kosa, žensko
👩🏽‍🦳	sijeda kosa, umjerena boja kože, žena, žena: umjerena boja kože i sijeda kosa, žensko
👩🏾‍🦳	sijeda kosa, umjereno tamna boja kože, žena, žena: umjereno tamna boja kože i sijeda kosa, žensko
👩🏿‍🦳	sijeda kosa, tamna boja kože, žena, žena: tamna boja kože i sijeda kosa, žensko
👩‍🦲	ćelavo, žena, žena: ćelavo, žensko
👩🏻‍🦲	svijetla boja kože, ćelavo, žena, žena: svijetla boja kože i ćelavo, žensko
👩🏼‍🦲	umjereno svijetla boja kože, ćelavo, žena, žena: umjereno svijetla boja kože i ćelavo, žensko
👩🏽‍🦲	umjerena boja kože, ćelavo, žena, žena: umjerena boja kože i ćelavo, žensko
👩🏾‍🦲	umjereno tamna boja kože, ćelavo, žena, žena: umjereno tamna boja kože i ćelavo, žensko
👩🏿‍🦲	tamna boja kože, ćelavo, žena, žena: tamna boja kože i ćelavo, žensko
🧓	srednji rod, starija odrasla osoba, staro
🧓🏻	srednji rod, starija odrasla osoba, starija odrasla osoba: svijetla boja kože, staro, svijetla boja kože
🧓🏼	srednji rod, starija odrasla osoba, starija odrasla osoba: umjereno svijetla boja kože, staro, umjereno svijetla boja kože
🧓🏽	srednji rod, starija odrasla osoba, starija odrasla osoba: umjerena boja kože, staro, umjerena boja kože
🧓🏾	srednji rod, starija odrasla osoba, starija odrasla osoba: umjereno tamna boja kože, staro, umjereno tamna boja kože
🧓🏿	srednji rod, starija odrasla osoba, starija odrasla osoba: tamna boja kože, staro, tamna boja kože
👴	muškarac, star, starac, čovjek
👴🏻	muškarac, star, starac, starac: svijetla boja kože, svijetla boja kože, čovjek
👴🏼	muškarac, star, starac, starac: umjereno svijetla boja kože, umjereno svijetla boja kože, čovjek
👴🏽	muškarac, star, starac, starac: umjerena boja kože, umjerena boja kože, čovjek
👴🏾	muškarac, star, starac, starac: umjereno tamna boja kože, umjereno tamna boja kože, čovjek
👴🏿	muškarac, star, starac, starac: tamna boja kože, tamna boja kože, čovjek
👵	stara, starica, žena
👵🏻	stara, starica, starica: svijetla boja kože, svijetla boja kože, žena
👵🏼	stara, starica, starica: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
👵🏽	stara, starica, starica: umjerena boja kože, umjerena boja kože, žena
👵🏾	stara, starica, starica: umjereno tamna boja kože, umjereno tamna boja kože, žena
👵🏿	stara, starica, starica: tamna boja kože, tamna boja kože, žena
🙍	gestikulacija, izraz lica, mrštenje, namrštena osoba
🙍🏻	gestikulacija, izraz lica, mrštenje, namrštena osoba, namrštena osoba: svijetla boja kože, svijetla boja kože
🙍🏼	gestikulacija, izraz lica, mrštenje, namrštena osoba, namrštena osoba: umjereno svijetla boja kože, umjereno svijetla boja kože
🙍🏽	gestikulacija, izraz lica, mrštenje, namrštena osoba, namrštena osoba: umjerena boja kože, umjerena boja kože
🙍🏾	gestikulacija, izraz lica, mrštenje, namrštena osoba, namrštena osoba: umjereno tamna boja kože, umjereno tamna boja kože
🙍🏿	gestikulacija, izraz lica, mrštenje, namrštena osoba, namrštena osoba: tamna boja kože, tamna boja kože
🙍‍♂	gestikulacija, izraz lica, mrštenje, muškarac, namršten muškarac
🙍🏻‍♂	gestikulacija, izraz lica, mrštenje, muškarac, namršten muškarac, namršten muškarac: svijetla boja kože, svijetla boja kože
🙍🏼‍♂	gestikulacija, izraz lica, mrštenje, muškarac, namršten muškarac, namršten muškarac: umjereno svijetla boja kože, umjereno svijetla boja kože
🙍🏽‍♂	gestikulacija, izraz lica, mrštenje, muškarac, namršten muškarac, namršten muškarac: umjerena boja kože, umjerena boja kože
🙍🏾‍♂	gestikulacija, izraz lica, mrštenje, muškarac, namršten muškarac, namršten muškarac: umjereno tamna boja kože, umjereno tamna boja kože
🙍🏿‍♂	gestikulacija, izraz lica, mrštenje, muškarac, namršten muškarac, namršten muškarac: tamna boja kože, tamna boja kože
🙍‍♀	gestikulacija, izraz lica, mrštenje, namrštena žena, žena
🙍🏻‍♀	gestikulacija, izraz lica, mrštenje, namrštena žena, namrštena žena: svijetla boja kože, svijetla boja kože, žena
🙍🏼‍♀	gestikulacija, izraz lica, mrštenje, namrštena žena, namrštena žena: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
🙍🏽‍♀	gestikulacija, izraz lica, mrštenje, namrštena žena, namrštena žena: umjerena boja kože, umjerena boja kože, žena
