😀	դեմք, ծիծաղող դեմք, քմծիծաղել
☝🏽	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ միջին գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, միջին գույնի մաշկ, ուղղված, վեր, ցուցամատ
☝🏾	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ միջին մուգ գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
☝🏿	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ մուգ գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
👍️	+1, բութ, բութ մատը վեր, ձեռք, մարմին, վեր
👍🏻	+1, բաց գույնի մաշկ, բութ, բութ մատը վեր, բութ մատը վեր՝ բաց գույնի մաշկ, ձեռք, մարմին, վեր
👍🏼	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ, վեր
👍🏽	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ, վեր
👍🏾	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ, վեր
👍🏿	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ, վեր
👎️	-1, բութ մատ, բութ մատը ներքև, ձեռք, մարմին, ներքև
👎🏻	-1, բաց գույնի մաշկ, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ բաց գույնի մաշկ, ձեռք, մարմին, ներքև
👎🏼	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ, ներքև
👎🏽	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ, ներքև
👎🏾	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ, ներքև
👎🏿	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ, ներքև
✊	բարձրացված բռունցք, բռունցք, հարված, ձեռք, մարմին, սեղմված
✊🏻	բարձրացված բռունցք, բարձրացված բռունցք՝ բաց գույնի մաշկ, բաց գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, սեղմված
✊🏼	բարձրացված բռունցք, բարձրացված բռունցք՝ միջին բաց գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, միջին բաց գույնի մաշկ, սեղմված
✊🏽	բարձրացված բռունցք, բարձրացված բռունցք՝ միջին գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, միջին գույնի մաշկ, սեղմված
✊🏾	բարձրացված բռունցք, բարձրացված բռունցք՝ միջին մուգ գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, միջին մուգ գույնի մաշկ, սեղմված
✊🏿	բարձրացված բռունցք, բարձրացված բռունցք՝ մուգ գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, մուգ գույնի մաշկ, սեղմված
👊	բռունցք, հանդիպակաց բռունցք, հարված, ձեռք, մարմին, սեղմված
👊🏻	բաց գույնի մաշկ, բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ բաց գույնի մաշկ, հարված, ձեռք, մարմին, սեղմված
👊🏼	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ միջին բաց գույնի մաշկ, հարված, ձեռք, մարմին, միջին բաց գույնի մաշկ, սեղմված
👊🏽	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ միջին գույնի մաշկ, հարված, ձեռք, մարմին, միջին գույնի մաշկ, սեղմված
👊🏾	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ միջին մուգ գույնի մաշկ, հարված, ձեռք, մարմին, միջին մուգ գույնի մաշկ, սեղմված
👊🏿	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ մուգ գույնի մաշկ, հարված, ձեռք, մարմին, մուգ գույնի մաշկ, սեղմված
🤛	բռունցք, բռունցքը ձախ, ձախ
🤛🏻	բաց գույնի մաշկ, բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ բաց գույնի մաշկ, ձախ
🤛🏼	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ միջին բաց գույնի մաշկ, ձախ, միջին բաց գույնի մաշկ
🤛🏽	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ միջին գույնի մաշկ, ձախ, միջին գույնի մաշկ
🤛🏾	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ միջին մուգ գույնի մաշկ, ձախ, միջին մուգ գույնի մաշկ
🤛🏿	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ մուգ գույնի մաշկ, ձախ, մուգ գույնի մաշկ
🤜	աջ, բռունցք, բռունցքը աջ
🤜🏻	աջ, բաց գույնի մաշկ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ բաց գույնի մաշկ
🤜🏼	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🤜🏽	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🤜🏾	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🤜🏿	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
👏	ծափահարել, ծափահարող ձեռքեր, ձեռք, մարմին
👏🏻	բաց գույնի մաշկ, ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ բաց գույնի մաշկ, ձեռք, մարմին
👏🏼	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👏🏽	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👏🏾	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👏🏿	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🙌	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, մարմին, ուռա, տոն
🙌🏻	բարձրացված, բաց գույնի մաշկ, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ բաց գույնի մաշկ, մարմին, ուռա, տոն
🙌🏼	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ միջին բաց գույնի մաշկ, մարմին, միջին բաց գույնի մաշկ, ուռա, տոն
🙌🏽	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ միջին գույնի մաշկ, մարմին, միջին գույնի մաշկ, ուռա, տոն
🙌🏾	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ միջին մուգ գույնի մաշկ, մարմին, միջին մուգ գույնի մաշկ, ուռա, տոն
🙌🏿	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ մուգ գույնի մաշկ, մարմին, մուգ գույնի մաշկ, ուռա, տոն
👐	բաց, բաց ձեռքեր, ձեռք, մարմին
👐🏻	բաց, բաց գույնի մաշկ, բաց ձեռքեր, բաց ձեռքեր՝ բաց գույնի մաշկ, ձեռք, մարմին
👐🏼	բաց, բաց ձեռքեր, բաց ձեռքեր՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👐🏽	բաց, բաց ձեռքեր, բաց ձեռքեր՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👐🏾	բաց, բաց ձեռքեր, բաց ձեռքեր՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👐🏿	բաց, բաց ձեռքեր, բաց ձեռքեր՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🤲	աղոթք, ձեռքերի ափերը վեր
🤲🏻	աղոթք, բաց գույնի մաշկ, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ բաց գույնի մաշկ
🤲🏼	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🤲🏽	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🤲🏾	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🤲🏿	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🤝	համաձայնություն, հանդիպում, ձեռք, ձեռքսեղմում, սեղմել
🙏	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, մարմին, միացված, շնորհակալություն
🙏🏻	աղոթել, բաց գույնի մաշկ, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ բաց գույնի մաշկ, մարմին, միացված, շնորհակալություն
🙏🏼	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ միջին բաց գույնի մաշկ, մարմին, միացված, միջին բաց գույնի մաշկ, շնորհակալություն
🙏🏽	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ միջին գույնի մաշկ, մարմին, միացված, միջին գույնի մաշկ, շնորհակալություն
🙏🏾	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ միջին մուգ գույնի մաշկ, մարմին, միացված, միջին մուգ գույնի մաշկ, շնորհակալություն
🙏🏿	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ մուգ գույնի մաշկ, մարմին, միացված, մուգ գույնի մաշկ, շնորհակալություն
✍️	գրել, գրող ձեռք, ձեռք, մարմին
✍🏻	բաց գույնի մաշկ, գրել, գրող ձեռք, գրող ձեռք՝ բաց գույնի մաշկ, ձեռք, մարմին
✍🏼	գրել, գրող ձեռք, գրող ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
