😀	seja, smaids, smiekli
🤜🏼	dūre, dūre pa labi, dūre pa labi: vidēji gaišs ādas tonis, pa labi, vidēji gaišs ādas tonis
🤜🏽	dūre, dūre pa labi, dūre pa labi: vidējs ādas tonis, pa labi, vidējs ādas tonis
🤜🏾	dūre, dūre pa labi, dūre pa labi: vidēji tumšs ādas tonis, pa labi, vidēji tumšs ādas tonis
🤜🏿	dūre, dūre pa labi, dūre pa labi: tumšs ādas tonis, pa labi, tumšs ādas tonis
👏	aplaudēt, aplausi, roka, ķermenis
👏🏻	aplaudēt, aplausi, aplausi: gaišs ādas tonis, gaišs ādas tonis, roka, ķermenis
👏🏼	aplaudēt, aplausi, aplausi: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis, ķermenis
👏🏽	aplaudēt, aplausi, aplausi: vidējs ādas tonis, roka, vidējs ādas tonis, ķermenis
👏🏾	aplaudēt, aplausi, aplausi: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis, ķermenis
👏🏿	aplaudēt, aplausi, aplausi: tumšs ādas tonis, roka, tumšs ādas tonis, ķermenis
🙌	paceltas rokas, pacelts, rokas, svinēt, uzvara
🙌🏻	gaišs ādas tonis, paceltas rokas, paceltas rokas: gaišs ādas tonis, pacelts, rokas, svinēt, uzvara
🙌🏼	paceltas rokas, paceltas rokas: vidēji gaišs ādas tonis, pacelts, rokas, svinēt, uzvara, vidēji gaišs ādas tonis
🙌🏽	paceltas rokas, paceltas rokas: vidējs ādas tonis, pacelts, rokas, svinēt, uzvara, vidējs ādas tonis
🙌🏾	paceltas rokas, paceltas rokas: vidēji tumšs ādas tonis, pacelts, rokas, svinēt, uzvara, vidēji tumšs ādas tonis
🙌🏿	paceltas rokas, paceltas rokas: tumšs ādas tonis, pacelts, rokas, svinēt, tumšs ādas tonis, uzvara
👐	atvērtas rokas, roka, ķermenis
👐🏻	atvērtas rokas, atvērtas rokas: gaišs ādas tonis, gaišs ādas tonis, roka, ķermenis
👐🏼	atvērtas rokas, atvērtas rokas: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis, ķermenis
👐🏽	atvērtas rokas, atvērtas rokas: vidējs ādas tonis, roka, vidējs ādas tonis, ķermenis
👐🏾	atvērtas rokas, atvērtas rokas: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis, ķermenis
👐🏿	atvērtas rokas, atvērtas rokas: tumšs ādas tonis, roka, tumšs ādas tonis, ķermenis
🤲	lūdzējs, plaukstas kopā
🤲🏻	gaišs ādas tonis, lūdzējs, plaukstas kopā, plaukstas kopā: gaišs ādas tonis
🤲🏼	lūdzējs, plaukstas kopā, plaukstas kopā: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🤲🏽	lūdzējs, plaukstas kopā, plaukstas kopā: vidējs ādas tonis, vidējs ādas tonis
🤲🏾	lūdzējs, plaukstas kopā, plaukstas kopā: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🤲🏿	lūdzējs, plaukstas kopā, plaukstas kopā: tumšs ādas tonis, tumšs ādas tonis
🤝	līgums, roka, rokasspiediens, sarokoties, tikšanās
🙏	lūgt, lūgties, lūgšanā saliktas rokas, rokas, žests
🙏🏻	gaišs ādas tonis, lūgt, lūgties, lūgšanā saliktas rokas, lūgšanā saliktas rokas: gaišs ādas tonis, rokas, žests
🙏🏼	lūgt, lūgties, lūgšanā saliktas rokas, lūgšanā saliktas rokas: vidēji gaišs ādas tonis, rokas, vidēji gaišs ādas tonis, žests
🙏🏽	lūgt, lūgties, lūgšanā saliktas rokas, lūgšanā saliktas rokas: vidējs ādas tonis, rokas, vidējs ādas tonis, žests
🙏🏾	lūgt, lūgties, lūgšanā saliktas rokas, lūgšanā saliktas rokas: vidēji tumšs ādas tonis, rokas, vidēji tumšs ādas tonis, žests
🙏🏿	lūgt, lūgties, lūgšanā saliktas rokas, lūgšanā saliktas rokas: tumšs ādas tonis, rokas, tumšs ādas tonis, žests
✍️	rakstoša roka, rakstīt, roka, ķermenis
✍🏻	gaišs ādas tonis, rakstoša roka, rakstoša roka: gaišs ādas tonis, rakstīt, roka, ķermenis
✍🏼	rakstoša roka, rakstoša roka: vidēji gaišs ādas tonis, rakstīt, roka, vidēji gaišs ādas tonis, ķermenis
✍🏽	rakstoša roka, rakstoša roka: vidējs ādas tonis, rakstīt, roka, vidējs ādas tonis, ķermenis
✍🏾	rakstoša roka, rakstoša roka: vidēji tumšs ādas tonis, rakstīt, roka, vidēji tumšs ādas tonis, ķermenis
✍🏿	rakstoša roka, rakstoša roka: tumšs ādas tonis, rakstīt, roka, tumšs ādas tonis, ķermenis
💅	kosmētika, laka, manikīrs, nagi, nagu laka, skaistumkopšana, ķermenis
💅🏻	gaišs ādas tonis, kosmētika, laka, manikīrs, nagi, nagu laka, nagu laka: gaišs ādas tonis, skaistumkopšana, ķermenis
💅🏼	kosmētika, laka, manikīrs, nagi, nagu laka, nagu laka: vidēji gaišs ādas tonis, skaistumkopšana, vidēji gaišs ādas tonis, ķermenis
💅🏽	kosmētika, laka, manikīrs, nagi, nagu laka, nagu laka: vidējs ādas tonis, skaistumkopšana, vidējs ādas tonis, ķermenis
💅🏾	kosmētika, laka, manikīrs, nagi, nagu laka, nagu laka: vidēji tumšs ādas tonis, skaistumkopšana, vidēji tumšs ādas tonis, ķermenis
💅🏿	kosmētika, laka, manikīrs, nagi, nagu laka, nagu laka: tumšs ādas tonis, skaistumkopšana, tumšs ādas tonis, ķermenis
🤳	kamera, pašfoto, tālrunis
🤳🏻	gaišs ādas tonis, kamera, pašfoto, pašfoto: gaišs ādas tonis, tālrunis
🤳🏼	kamera, pašfoto, pašfoto: vidēji gaišs ādas tonis, tālrunis, vidēji gaišs ādas tonis
🤳🏽	kamera, pašfoto, pašfoto: vidējs ādas tonis, tālrunis, vidējs ādas tonis
🤳🏾	kamera, pašfoto, pašfoto: vidēji tumšs ādas tonis, tālrunis, vidēji tumšs ādas tonis
🤳🏿	kamera, pašfoto, pašfoto: tumšs ādas tonis, tumšs ādas tonis, tālrunis
💪	bicepss, muskulis, saliekt, ķermenis
💪🏻	bicepss, bicepss: gaišs ādas tonis, gaišs ādas tonis, muskulis, saliekt, ķermenis
💪🏼	bicepss, bicepss: vidēji gaišs ādas tonis, muskulis, saliekt, vidēji gaišs ādas tonis, ķermenis
💪🏽	bicepss, bicepss: vidējs ādas tonis, muskulis, saliekt, vidējs ādas tonis, ķermenis
💪🏾	bicepss, bicepss: vidēji tumšs ādas tonis, muskulis, saliekt, vidēji tumšs ādas tonis, ķermenis
💪🏿	bicepss, bicepss: tumšs ādas tonis, muskulis, saliekt, tumšs ādas tonis, ķermenis
🦾	mehāniska roka, pieejamība, protēzes
🦿	mehāniska kāja, pieejamība, protēzes
🦵	ekstremitāte, kāja, spēriens
🦵🏻	ekstremitāte, gaišs ādas tonis, kāja, kāja: gaišs ādas tonis, spēriens
🦵🏼	ekstremitāte, kāja, kāja: vidēji gaišs ādas tonis, spēriens, vidēji gaišs ādas tonis
🦵🏽	ekstremitāte, kāja, kāja: vidējs ādas tonis, spēriens, vidējs ādas tonis
🦵🏾	ekstremitāte, kāja, kāja: vidēji tumšs ādas tonis, spēriens, vidēji tumšs ādas tonis
🦵🏿	ekstremitāte, kāja, kāja: tumšs ādas tonis, spēriens, tumšs ādas tonis
🦶	pēda, spēriens
🦶🏻	gaišs ādas tonis, pēda, pēda: gaišs ādas tonis, spēriens
🦶🏼	pēda, pēda: vidēji gaišs ādas tonis, spēriens, vidēji gaišs ādas tonis
🦶🏽	pēda, pēda: vidējs ādas tonis, spēriens, vidējs ādas tonis
🦶🏾	pēda, pēda: vidēji tumšs ādas tonis, spēriens, vidēji tumšs ādas tonis
🦶🏿	pēda, pēda: tumšs ādas tonis, spēriens, tumšs ādas tonis
👂️	auss, ķermenis
👂🏻	auss, auss: gaišs ādas tonis, gaišs ādas tonis, ķermenis
👂🏼	auss, auss: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
👂🏽	auss, auss: vidējs ādas tonis, vidējs ādas tonis, ķermenis
👂🏾	auss, auss: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
👂🏿	auss, auss: tumšs ādas tonis, tumšs ādas tonis, ķermenis
🦻	apgrūtināta dzirde, auss ar dzirdes aparātu, pieejamība
🦻🏻	apgrūtināta dzirde, auss ar dzirdes aparātu, auss ar dzirdes aparātu: gaišs ādas tonis, gaišs ādas tonis, pieejamība
🦻🏼	apgrūtināta dzirde, auss ar dzirdes aparātu, auss ar dzirdes aparātu: vidēji gaišs ādas tonis, pieejamība, vidēji gaišs ādas tonis
🦻🏽	apgrūtināta dzirde, auss ar dzirdes aparātu, auss ar dzirdes aparātu: vidējs ādas tonis, pieejamība, vidējs ādas tonis
🦻🏾	apgrūtināta dzirde, auss ar dzirdes aparātu, auss ar dzirdes aparātu: vidēji tumšs ādas tonis, pieejamība, vidēji tumšs ādas tonis
🦻🏿	apgrūtināta dzirde, auss ar dzirdes aparātu, auss ar dzirdes aparātu: tumšs ādas tonis, pieejamība, tumšs ādas tonis
👃	deguns, ķermenis
👃🏻	deguns, deguns: gaišs ādas tonis, gaišs ādas tonis, ķermenis
👃🏼	deguns, deguns: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ķermenis
👃🏽	deguns, deguns: vidējs ādas tonis, vidējs ādas tonis, ķermenis
👃🏾	deguns, deguns: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ķermenis
👃🏿	deguns, deguns: tumšs ādas tonis, tumšs ādas tonis, ķermenis
🧠	intelekts, smadzenes
🦷	zobs, zobārsts
🦴	kauls, skelets
👀	acis, acs, ķermenis
👁️	acs, ķermenis
👅	mute, mēle, ķermenis
👄	lūpas, mute, ķermenis
👶	bērns, mazulis, seja, zīdainis
👶🏻	bērns, gaišs ādas tonis, mazulis, seja, zīdainis, zīdainis: gaišs ādas tonis
👶🏼	bērns, mazulis, seja, vidēji gaišs ādas tonis, zīdainis, zīdainis: vidēji gaišs ādas tonis
👶🏽	bērns, mazulis, seja, vidējs ādas tonis, zīdainis, zīdainis: vidējs ādas tonis
👶🏾	bērns, mazulis, seja, vidēji tumšs ādas tonis, zīdainis, zīdainis: vidēji tumšs ādas tonis
👶🏿	bērns, mazulis, seja, tumšs ādas tonis, zīdainis, zīdainis: tumšs ādas tonis
🧒	bezdzimuma, bērns, dzimumneitrāls, jauns
🧒🏻	bezdzimuma, bērns, bērns: gaišs ādas tonis, dzimumneitrāls, gaišs ādas tonis, jauns
🧒🏼	bezdzimuma, bērns, bērns: vidēji gaišs ādas tonis, dzimumneitrāls, jauns, vidēji gaišs ādas tonis
🧒🏽	bezdzimuma, bērns, bērns: vidējs ādas tonis, dzimumneitrāls, jauns, vidējs ādas tonis
🧒🏾	bezdzimuma, bērns, bērns: vidēji tumšs ādas tonis, dzimumneitrāls, jauns, vidēji tumšs ādas tonis
🧒🏿	bezdzimuma, bērns, bērns: tumšs ādas tonis, dzimumneitrāls, jauns, tumšs ādas tonis
👦	puika, seja, zēns
👦🏻	gaišs ādas tonis, puika, seja, zēns, zēns: gaišs ādas tonis
👦🏼	puika, seja, vidēji gaišs ādas tonis, zēns, zēns: vidēji gaišs ādas tonis
👦🏽	puika, seja, vidējs ādas tonis, zēns, zēns: vidējs ādas tonis
👦🏾	puika, seja, vidēji tumšs ādas tonis, zēns, zēns: vidēji tumšs ādas tonis
👦🏿	puika, seja, tumšs ādas tonis, zēns, zēns: tumšs ādas tonis
👧	Jaunava, jauna, meitene, zodiaks
👧🏻	Jaunava, gaišs ādas tonis, jauna, meitene, meitene: gaišs ādas tonis, zodiaks
👧🏼	Jaunava, jauna, meitene, meitene: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, zodiaks
👧🏽	Jaunava, jauna, meitene, meitene: vidējs ādas tonis, vidējs ādas tonis, zodiaks
👧🏾	Jaunava, jauna, meitene, meitene: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, zodiaks
👧🏿	Jaunava, jauna, meitene, meitene: tumšs ādas tonis, tumšs ādas tonis, zodiaks
🧑	bezdzimuma, dzimumneitrāls, pieaugušais
🧑🏻	bezdzimuma, dzimumneitrāls, gaišs ādas tonis, pieaugušais, pieaugušais: gaišs ādas tonis
🧑🏼	bezdzimuma, dzimumneitrāls, pieaugušais, pieaugušais: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🧑🏽	bezdzimuma, dzimumneitrāls, pieaugušais, pieaugušais: vidējs ādas tonis, vidējs ādas tonis
🧑🏾	bezdzimuma, dzimumneitrāls, pieaugušais, pieaugušais: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🧑🏿	bezdzimuma, dzimumneitrāls, pieaugušais, pieaugušais: tumšs ādas tonis, tumšs ādas tonis
👱	blonds, blonds cilvēks, seja
👱🏻	blonds, blonds cilvēks, blonds cilvēks: gaišs ādas tonis, gaišs ādas tonis, seja
👱🏼	blonds, blonds cilvēks, blonds cilvēks: vidēji gaišs ādas tonis, seja, vidēji gaišs ādas tonis
👱🏽	blonds, blonds cilvēks, blonds cilvēks: vidējs ādas tonis, seja, vidējs ādas tonis
👱🏾	blonds, blonds cilvēks, blonds cilvēks: vidēji tumšs ādas tonis, seja, vidēji tumšs ādas tonis
👱🏿	blonds, blonds cilvēks, blonds cilvēks: tumšs ādas tonis, seja, tumšs ādas tonis
👨	kungs, seja, vīrietis, vīrs
👨🏻	gaišs ādas tonis, kungs, seja, vīrietis, vīrietis: gaišs ādas tonis, vīrs
👨🏼	kungs, seja, vidēji gaišs ādas tonis, vīrietis, vīrietis: vidēji gaišs ādas tonis, vīrs
👨🏽	kungs, seja, vidējs ādas tonis, vīrietis, vīrietis: vidējs ādas tonis, vīrs
👨🏾	kungs, seja, vidēji tumšs ādas tonis, vīrietis, vīrietis: vidēji tumšs ādas tonis, vīrs
👨🏿	kungs, seja, tumšs ādas tonis, vīrietis, vīrietis: tumšs ādas tonis, vīrs
🧔	bārda, bārdaina persona, persona, vīrietis
🧔🏻	bārda, bārdaina persona, bārdaina persona: gaišs ādas tonis, gaišs ādas tonis, persona, vīrietis
🧔🏼	bārda, bārdaina persona, bārdaina persona: vidēji gaišs ādas tonis, persona, vidēji gaišs ādas tonis, vīrietis
🧔🏽	bārda, bārdaina persona, bārdaina persona: vidējs ādas tonis, persona, vidējs ādas tonis, vīrietis
🧔🏾	bārda, bārdaina persona, bārdaina persona: vidēji tumšs ādas tonis, persona, vidēji tumšs ādas tonis, vīrietis
🧔🏿	bārda, bārdaina persona, bārdaina persona: tumšs ādas tonis, persona, tumšs ādas tonis, vīrietis
👱‍♂	blondīns, vīrietis
👱🏻‍♂	blondīns, blondīns: gaišs ādas tonis, gaišs ādas tonis, vīrietis
👱🏼‍♂	blondīns, blondīns: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👱🏽‍♂	blondīns, blondīns: vidējs ādas tonis, vidējs ādas tonis, vīrietis
👱🏾‍♂	blondīns, blondīns: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👱🏿‍♂	blondīns, blondīns: tumšs ādas tonis, tumšs ādas tonis, vīrietis
👨‍🦰	kungs, sarkani mati, seja, vīrietis, vīrietis: sarkani mati, vīrs
👨🏻‍🦰	gaišs ādas tonis, kungs, sarkani mati, seja, vīrietis, vīrietis: gaišs ādas tonis un sarkani mati, vīrs
👨🏼‍🦰	kungs, sarkani mati, seja, vidēji gaišs ādas tonis, vīrietis, vīrietis: vidēji gaišs ādas tonis un sarkani mati, vīrs
👨🏽‍🦰	kungs, sarkani mati, seja, vidējs ādas tonis, vīrietis, vīrietis: vidējs ādas tonis un sarkani mati, vīrs
👨🏾‍🦰	kungs, sarkani mati, seja, vidēji tumšs ādas tonis, vīrietis, vīrietis: vidēji tumšs ādas tonis un sarkani mati, vīrs
👨🏿‍🦰	kungs, sarkani mati, seja, tumšs ādas tonis, vīrietis, vīrietis: tumšs ādas tonis un sarkani mati, vīrs
👨‍🦱	kungs, seja, sprogaini mati, vīrietis, vīrietis: sprogaini mati, vīrs
👨🏻‍🦱	gaišs ādas tonis, kungs, seja, sprogaini mati, vīrietis, vīrietis: gaišs ādas tonis un sprogaini mati, vīrs
👨🏼‍🦱	kungs, seja, sprogaini mati, vidēji gaišs ādas tonis, vīrietis, vīrietis: vidēji gaišs ādas tonis un sprogaini mati, vīrs
👨🏽‍🦱	kungs, seja, sprogaini mati, vidējs ādas tonis, vīrietis, vīrietis: vidējs ādas tonis un sprogaini mati, vīrs
👨🏾‍🦱	kungs, seja, sprogaini mati, vidēji tumšs ādas tonis, vīrietis, vīrietis: vidēji tumšs ādas tonis un sprogaini mati, vīrs
👨🏿‍🦱	kungs, seja, sprogaini mati, tumšs ādas tonis, vīrietis, vīrietis: tumšs ādas tonis un sprogaini mati, vīrs
👨‍🦳	kungs, seja, sirmi mati, vīrietis, vīrietis: sirmi mati, vīrs
👨🏻‍🦳	gaišs ādas tonis, kungs, seja, sirmi mati, vīrietis, vīrietis: gaišs ādas tonis un sirmi mati, vīrs
👨🏼‍🦳	kungs, seja, sirmi mati, vidēji gaišs ādas tonis, vīrietis, vīrietis: vidēji gaišs ādas tonis un sirmi mati, vīrs
👨🏽‍🦳	kungs, seja, sirmi mati, vidējs ādas tonis, vīrietis, vīrietis: vidējs ādas tonis un sirmi mati, vīrs
👨🏾‍🦳	kungs, seja, sirmi mati, vidēji tumšs ādas tonis, vīrietis, vīrietis: vidēji tumšs ādas tonis un sirmi mati, vīrs
👨🏿‍🦳	kungs, seja, sirmi mati, tumšs ādas tonis, vīrietis, vīrietis: tumšs ādas tonis un sirmi mati, vīrs
👨‍🦲	bez matiem, kungs, seja, vīrietis, vīrietis: bez matiem, vīrs
👨🏻‍🦲	bez matiem, gaišs ādas tonis, kungs, seja, vīrietis, vīrietis: gaišs ādas tonis un bez matiem, vīrs
👨🏼‍🦲	bez matiem, kungs, seja, vidēji gaišs ādas tonis, vīrietis, vīrietis: vidēji gaišs ādas tonis un bez matiem, vīrs
👨🏽‍🦲	bez matiem, kungs, seja, vidējs ādas tonis, vīrietis, vīrietis: vidējs ādas tonis un bez matiem, vīrs
👨🏾‍🦲	bez matiem, kungs, seja, vidēji tumšs ādas tonis, vīrietis, vīrietis: vidēji tumšs ādas tonis un bez matiem, vīrs
👨🏿‍🦲	bez matiem, kungs, seja, tumšs ādas tonis, vīrietis, vīrietis: tumšs ādas tonis un bez matiem, vīrs
👩	dāma, kundze, seja, sieviete
👩🏻	dāma, gaišs ādas tonis, kundze, seja, sieviete, sieviete: gaišs ādas tonis
👩🏼	dāma, kundze, seja, sieviete, sieviete: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
👩🏽	dāma, kundze, seja, sieviete, sieviete: vidējs ādas tonis, vidējs ādas tonis
👩🏾	dāma, kundze, seja, sieviete, sieviete: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏿	dāma, kundze, seja, sieviete, sieviete: tumšs ādas tonis, tumšs ādas tonis
👱‍♀	blonda, blondi mati, blondīne, sieviete
👱🏻‍♀	blonda, blondi mati, blondīne, blondīne: gaišs ādas tonis, gaišs ādas tonis, sieviete
👱🏼‍♀	blonda, blondi mati, blondīne, blondīne: vidēji gaišs ādas tonis, sieviete, vidēji gaišs ādas tonis
👱🏽‍♀	blonda, blondi mati, blondīne, blondīne: vidējs ādas tonis, sieviete, vidējs ādas tonis
👱🏾‍♀	blonda, blondi mati, blondīne, blondīne: vidēji tumšs ādas tonis, sieviete, vidēji tumšs ādas tonis
👱🏿‍♀	blonda, blondi mati, blondīne, blondīne: tumšs ādas tonis, sieviete, tumšs ādas tonis
👩‍🦰	dāma, kundze, sarkani mati, seja, sieviete, sieviete: sarkani mati
👩🏻‍🦰	dāma, gaišs ādas tonis, kundze, sarkani mati, seja, sieviete, sieviete: gaišs ādas tonis un sarkani mati
👩🏼‍🦰	dāma, kundze, sarkani mati, seja, sieviete, sieviete: vidēji gaišs ādas tonis un sarkani mati, vidēji gaišs ādas tonis
👩🏽‍🦰	dāma, kundze, sarkani mati, seja, sieviete, sieviete: vidējs ādas tonis un sarkani mati, vidējs ādas tonis
👩🏾‍🦰	dāma, kundze, sarkani mati, seja, sieviete, sieviete: vidēji tumšs ādas tonis un sarkani mati, vidēji tumšs ādas tonis
👩🏿‍🦰	dāma, kundze, sarkani mati, seja, sieviete, sieviete: tumšs ādas tonis un sarkani mati, tumšs ādas tonis
👩‍🦱	dāma, kundze, seja, sieviete, sieviete: sprogaini mati, sprogaini mati
👩🏻‍🦱	dāma, gaišs ādas tonis, kundze, seja, sieviete, sieviete: gaišs ādas tonis un sprogaini mati, sprogaini mati
👩🏼‍🦱	dāma, kundze, seja, sieviete, sieviete: vidēji gaišs ādas tonis un sprogaini mati, sprogaini mati, vidēji gaišs ādas tonis
👩🏽‍🦱	dāma, kundze, seja, sieviete, sieviete: vidējs ādas tonis un sprogaini mati, sprogaini mati, vidējs ādas tonis
👩🏾‍🦱	dāma, kundze, seja, sieviete, sieviete: vidēji tumšs ādas tonis un sprogaini mati, sprogaini mati, vidēji tumšs ādas tonis
👩🏿‍🦱	dāma, kundze, seja, sieviete, sieviete: tumšs ādas tonis un sprogaini mati, sprogaini mati, tumšs ādas tonis
